職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
武具職人,町,手先の器用さ／体で覚える力／触覚／集中／最大筋力,握力／肩幅／暑さへの強さ／視力／観察／空間把握／潔癖／誇り／傷の治り／息の長さ／忍耐,好奇心／気分の振れ幅／他責／手の大きさ,手先の器用さ／触覚,手先の器用さ／体で覚える力／触覚／集中／握力／暑さへの強さ／誇り／観察,鍛冶と同じ火と金属を使うが寸法の狂いがそのまま人の死になるので触覚と観察の重みが違う。最大筋力は使うが伸びない（すでに力のある者が就く）。伸びるのは鎚を握り続ける握力のほう
石工,町,空間把握／最大筋力／体幹／手先の器用さ／体で覚える力,骨太さ／肩幅／握力／平衡感覚／持久力／数の感覚／段取り／観察／視力／暑さへの強さ／慎重,潔癖／好奇心／気分の振れ幅／保身,空間把握／体で覚える力,空間把握／体幹／握力／体で覚える力／段取り／最大筋力／持久力／誇り,大工が木目と寸法なら石工は積み方と重心。失敗が崩落なので慎重が要る。石粉を一日吸う職なので肺を痛めるが それを受けるステが無い
細工師,町,手先の器用さ／触覚／集中／視力／色の見分け,体で覚える力／観察／潔癖／忍耐／数の感覚／創意／空間把握／誇り／顔と名前の覚え／利き手・両利き,手の大きさ／握力／口の軽さ／老いの速さ／気分の振れ幅,手先の器用さ／視力／色の見分け,手先の器用さ／触覚／集中／体で覚える力／忍耐／誇り／観察,手先の極。視力と色の見分けは伸びしろがほぼゼロなので生まれつき持たない者は何年やっても届かない。四十過ぎに近くが見えなくなった時点で稼ぎが崩れるので老いの速さが直に効く。金銀を預かる職なので口の軽さが致命になる
焼物,町,色の見分け／体で覚える力／手先の器用さ／集中／暑さへの強さ,触覚／観察／握力／空間把握／忍耐／息の長さ／視力／長期の記憶／勤勉／慎重／見て盗む力,必要睡眠／気分の振れ幅／好奇心／他責,色の見分け／体で覚える力,体で覚える力／手先の器用さ／集中／触覚／暑さへの強さ／長期の記憶／観察／見て盗む力,火の色と釉の色で温度を読むので色の見分けが入口。鍛冶は鉄の色を外しても打ち直せるが窯は一度外すと中身が丸ごと消える。窯は夜通し焚くので必要睡眠が高い者は務まらない。焚き方は教えてもらえないので見て盗む力が要る
仕立て,町,手先の器用さ／触覚／集中／色の見分け／空間把握,視力／観察／人読み／場を読む／顔と名前の覚え／弁舌／忍耐／潔癖／数の感覚／歯の丈夫さ,手の大きさ／握力／口の軽さ／好奇心,手先の器用さ／色の見分け,手先の器用さ／触覚／集中／体で覚える力／顔と名前の覚え／場を読む／人読み／観察,細工師と同じ手先を使うが客の身分と体に合わせるので人読みと場を読むが要る。細工師は物だけ見ていればいい。糸を歯で切るので歯の丈夫さが職人の三本目の手になる
船大工,町,空間把握／体で覚える力／手先の器用さ／最大筋力／段取り,触覚／観察／握力／体幹／平衡感覚／数の感覚／創意／論理／持久力／忍耐／長期の記憶,気分の振れ幅／好奇心／保身／他責,空間把握／体で覚える力,空間把握／体で覚える力／手先の器用さ／段取り／触覚／握力／観察／論理,大工と同じ木と寸法だが狂いがそのまま浸水になるので触覚と論理の重みが違う。浮くかどうかは水に入れる前に決まっている。頭の中だけで組む者は死ぬと普請が止まるので段取りが中核に要る
鉱夫,町,柔軟性／息の長さ／体幹／夜目／持久力,最大筋力／握力／打たれ強さ／痛覚の鈍さ／道と方角の覚え／触覚／聴力／忍耐／図太さ／度胸／成熟の早さ,肩幅／身長／体重／潔癖／気分の振れ幅,夜目／息の長さ,柔軟性／体幹／持久力／握力／痛覚の鈍さ／図太さ／道と方角の覚え／忍耐,鉄が無ければ鍛冶も武具も無い。資源の源。肩幅と身長が高い者は坑道に入れないので大男が務まらない唯一の力仕事になる。落盤の前触れは音で来るので聴力が命を分けるが聴力は鍛えられない。ステが足りない：肺の強さ（粉塵と煙に耐える）。息の長さで代用したが別物
製錬,町,暑さへの強さ／色の見分け／体で覚える力／観察／段取り,息の長さ／嗅覚／最大筋力／持久力／数の感覚／長期の記憶／論理／忍耐／毒への強さ／集中／視力,必要睡眠／潔癖／気分の振れ幅／好奇心,暑さへの強さ／色の見分け,体で覚える力／観察／段取り／暑さへの強さ／数の感覚／長期の記憶／集中／論理,鉱夫が掘り製錬が金属にする。炉の火の色と滓の色で判ずるので色の見分けが入口。炉は落とせないので夜通しの当番があり必要睡眠が高い者は続かない。鉛と水銀を扱うので毒への強さが低い者は数年で壊れる
塩職人,町,体で覚える力／味覚／暑さへの強さ／段取り／持久力,嗅覚／色の見分け／数の感覚／長期の記憶／観察／忍耐／勤勉／最大筋力／握力／集中／慎重,好奇心／気分の振れ幅／他責／情,味覚／体で覚える力,味覚／体で覚える力／段取り／持久力／数の感覚／長期の記憶／暑さへの強さ／忍耐,塩が無いと冬を越せない。この職の産出がそのまま餓死判定に効く戦略物資。舌で濃さを測るので味覚が入口になる。値が高いので情の高い者が分け始めると家が潰れる
商人,町,数の感覚／人読み／弁舌／段取り／嘘を見抜く,顔と名前の覚え／場を読む／短期の記憶／論理／社交／貪欲／機転／道と方角の覚え／酒への強さ／容姿／嘘のうまさ,正直さ／情／口の軽さ／信じやすさ／郷土愛,数の感覚／人読み,数の感覚／人読み／弁舌／嘘を見抜く／顔と名前の覚え／社交／段取り／貪欲,数の感覚は101の中で最も稀（レア度S）。ここに就ける者が町に何人いるかがそのまま町の育ち方を決める。正直さが高いと手の内を全部見せるので儲からない。市で待つ職なので歩く体力より座って人を読む力が要る
行商,町,腹の丈夫さ／道と方角の覚え／持久力／人読み／社交,数の感覚／弁舌／機転／顔と名前の覚え／言葉の覚え／病への強さ／度胸／寒さへの強さ／慎重／飢えへの強さ／好奇心,郷土愛／正直さ／必要睡眠／情,腹の丈夫さ／道と方角の覚え,道と方角の覚え／社交／人読み／持久力／腹の丈夫さ／言葉の覚え／機転／顔と名前の覚え,商人が市で待つのに対し行商は歩く。異郷の水と食い物で腹を下す者は最初の一巡で終わるので腹の丈夫さが入口。村と村を繋ぐのでこの職の数がそのまま縁組の届く範囲になる
両替,町,数の感覚／論理／触覚／集中／観察,短期の記憶／長期の記憶／視力／色の見分け／嘘を見抜く／顔と名前の覚え／慎重／図太さ／人読み／手先の器用さ／想起の速さ,信じやすさ／口の軽さ／情／気分の振れ幅／好奇心,数の感覚／触覚,数の感覚／論理／触覚／観察／集中／嘘を見抜く／長期の記憶,商人と同じ数の感覚を使うが両替は品を見ずに貨幣だけを見る。目方と手触りと色で真贋を判ずるので触覚と色の見分けが要る。利息を扱うこと自体が罪と見なされうるので図太さが要る
物を運ぶ職,町,最大筋力／体幹／肩幅／持久力／道と方角の覚え,握力／骨太さ／平衡感覚／三半規管／段取り／数の感覚／忍耐／腹の丈夫さ／寒さへの強さ／勤勉／疲労の抜けやすさ,誇り／好奇心／気分の振れ幅／必要睡眠,道と方角の覚え,体幹／持久力／握力／道と方角の覚え／腹の丈夫さ／段取り／忍耐／図太さ,腕力と肩幅は使うが伸びない。すでに持っている者が就くから。伸びるのは体幹と持久力と道の覚え。人を運ぶ職とは荷が文句を言わない点だけが違うので人読みが要らない。誇りの高い者は荷を担ぐことを格下の仕事と見て就かない
人を運ぶ職,町,三半規管／道と方角の覚え／人読み／社交／段取り,顔と名前の覚え／弁舌／場を読む／機転／体幹／平衡感覚／持久力／酒への強さ／口の軽さ／慎重／言葉の覚え,郷土愛／必要睡眠／潔癖／気分の振れ幅,三半規管／道と方角の覚え,社交／顔と名前の覚え／人読み／道と方角の覚え／場を読む／機転／三半規管／酒への強さ,宿を兼ねるのでこの職に口の軽さが揃うと町の情報が最も速く回る。物を運ぶ職と使う体は同じだが客が死ねば責を負うので人読みと場を読むが加わる
町長,町,段取り／弁舌／人読み／場を読む／数の感覚,顔と名前の覚え／論理／機転／長期の記憶／想起の速さ／誇り／忍耐／図太さ／慎重／恩義／社交,保身／他責／気分の振れ幅／情／口の軽さ,段取り／弁舌,段取り／弁舌／人読み／場を読む／顔と名前の覚え／図太さ／野心,野心は立場で加算されるので（A-16）就いた時点から上がり続け降ろしても下がらない。町長を置くことは恨みの結節点を一つ作ることでもある。情が高いと切るべき縁者を切れず役の質が落ちる
