職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
歩兵,軍,度胸／持久力／打たれ強さ／従順,最大筋力／体幹／肩幅／骨太さ／リーチ／身長／瞬発力／腹の丈夫さ／暑さへの強さ／体で覚える力／忍耐／成熟の早さ,理解の速さ／誇り／他責／気分の振れ幅／利き手・両利き,度胸／打たれ強さ,持久力／打たれ強さ／体で覚える力／度胸／忍耐／残酷さ／図太さ,数が要るので入口が最も低い職。理解の速さが高いと命令の穴に気づいて従わず 誇りが高いと格下の隊長の下で働かない。左に寄る者は剣を並べる訓練で隊列を乱すので外される。成熟の早さが高い者は初陣で死ににくいが早老を連れて来る。
射手,軍,握力／視力／リーチ／集中,息の長さ／肩幅／最大筋力／手先の器用さ／体で覚える力／色の見分け／観察／慎重／忍耐／反射,度胸／気分の振れ幅／痛覚の鈍さ／手の大きさ,視力／リーチ,握力／体で覚える力／集中／手先の器用さ／慎重／観察,視力とリーチは器官なので伸びない。歩兵と逆で度胸が邪魔になる（退き際を誤ると騎兵に踏まれる）。矢と矢羽根を自分で作るので手先の器用さと集中が伸びる。手が大きすぎると細い矢筈と弦を扱えない。
騎兵,軍,平衡感覚／体幹／度胸／反射,三半規管／骨太さ／最大筋力／リーチ／握力／体で覚える力／打たれ強さ／傷の治り／道と方角の覚え／名誉欲／誇り,体重／慎重／気分の振れ幅／保身,反射／平衡感覚,平衡感覚／体幹／体で覚える力／度胸／名誉欲／残酷さ／道と方角の覚え,ステが足りない：獣を御する力（馬・鷹・犬）。馬は中世の最重要資産なのに101ステに馬を扱う才が1つも無く 平衡感覚と三半規管で近似しているだけ。体重が重い者は馬が保たず替え馬の費用で家が傾く。
斥候,軍,観察／道と方角の覚え／夜目／慎重,視力／聴力／嗅覚／色の見分け／走力／敏捷／持久力／腹の丈夫さ／空間把握／機転／見て盗む力／寒さへの強さ,声／必要睡眠／体重／口の軽さ／社交,夜目／視力,観察／道と方角の覚え／機転／慎重／持久力／腹の丈夫さ／見て盗む力／図太さ,夜目は伸びしろほぼゼロの器官で 持たない者を出しても死ぬだけ。声が通る者は潜められないので夜の斥候に使えない。敵の陣の組み方を見て持ち帰るので見て盗む力が伸びる。
工兵,軍,空間把握／段取り／最大筋力／体幹,握力／柔軟性／息の長さ／手先の器用さ／持久力／論理／数の感覚／暑さへの強さ／忍耐／体で覚える力／創意／慎重,身長／肩幅／潔癖／気分の振れ幅,空間把握／論理,空間把握／段取り／握力／体幹／持久力／論理／体で覚える力,攻城の本体は坑道を掘る仕事なので 大柄で肩の広い者は入れない。歩兵と体型の最適が正反対になる。煙と埃の中で咳き込まないので息の長さが効く。
騎士,軍,誇り／度胸／体で覚える力／平衡感覚,最大筋力／骨太さ／リーチ／反射／傷の治り／容姿／声／弁舌／名誉欲／序列意識／恩義／利き手・両利き,保身／貪欲／慎重／他責／老いの速さ,反射／体で覚える力,誇り／名誉欲／度胸／体で覚える力／野心／残酷さ／平衡感覚,入口の本体は身分と7歳からの他家での養育で ステでは塞げない。平民でも武功で入れる穴があるのはこの梯子だけ。左からの一撃は相手の盾の外から来るので利き手が効く。
隊長,軍,声／段取り／度胸／弁舌,場を読む／顔と名前の覚え／機転／人読み／短期の記憶／観察／息の長さ／忍耐／慎重／数の感覚／誇り／図太さ,情／気分の振れ幅／保身／必要睡眠,声／短期の記憶,段取り／弁舌／場を読む／度胸／顔と名前の覚え／機転／野心／図太さ,声は喉の作りで訓練では変わらない。号令の届かない者は何年やっても隊長にならない。情が高いと殿を出せず 保身が高いと部下を切って自分が残る。
伝令,軍,走力／短期の記憶／道と方角の覚え／持久力,声／息の長さ／疲労の抜けやすさ／腹の丈夫さ／夜目／三半規管／平衡感覚／機転／想起の速さ／痛覚の鈍さ／度胸／慎重,必要睡眠／体重／口の軽さ／社交／信じやすさ,短期の記憶／走力,持久力／道と方角の覚え／腹の丈夫さ／機転／観察／図太さ,走力と短期の記憶は伸びしろが小さいので 持っている者を使い潰す職になる。口の軽さが最大の失格条件で 社交が高いと村ごとに足が止まる。痛覚の鈍さは捕まったときに口を割らないために効く。
兵站,軍,段取り／数の感覚／長期の記憶／慎重,論理／腹の丈夫さ／道と方角の覚え／三半規管／持久力／観察／短期の記憶／忍耐／勤勉／正直さ／顔と名前の覚え／体幹,貪欲／情／口の軽さ／気分の振れ幅,数の感覚／長期の記憶,段取り／数の感覚／論理／腹の丈夫さ／道と方角の覚え／観察／貪欲,貪欲は邪魔なのに 飢えを間近で見る役なので貪欲が育つ。年を経た兵站ほど横領する。糧秣の残りが漏れれば籠城が終わるので口の軽さが致命傷になる。
傭兵,軍,度胸／体で覚える力／貪欲／機転,打たれ強さ／傷の治り／腹の丈夫さ／持久力／最大筋力／残酷さ／図太さ／道と方角の覚え／人読み／嘘のうまさ／見て盗む力／酒への強さ,郷土愛／恩義／情／信心,度胸／体で覚える力,体で覚える力／機転／残酷さ／図太さ／貪欲／道と方角の覚え／見て盗む力／酒への強さ,郷土愛と恩義が高い者は傭兵にならない（土地を離れられず主も替えられない）。よその戦い方を見て持ち帰るので 技が国境を越える数少ない経路になる。
宰相,国家運営,段取り／弁舌／場を読む／人読み,論理／数の感覚／理解の速さ／顔と名前の覚え／長期の記憶／想起の速さ／嘘のうまさ／嘘を見抜く／忍耐／誇り／野心／図太さ,正直さ／情／口の軽さ／気分の振れ幅,理解の速さ／弁舌,段取り／弁舌／場を読む／人読み／嘘のうまさ／顔と名前の覚え／野心／図太さ,治める対象ができて初めて現れる。就いた時点で立場の野心加算が最大に乗り ラチェットなので降ろせば恨みだけが残る（A-16）。正直さが高いと交渉で手の内を全部見せる。
家令,国家運営,段取り／顔と名前の覚え／数の感覚／勤勉,長期の記憶／短期の記憶／場を読む／観察／人読み／潔癖／正直さ／忍耐／序列意識／味覚／毒への強さ／体幹,野心／貪欲／口の軽さ／誇り,数の感覚／顔と名前の覚え,段取り／顔と名前の覚え／場を読む／観察／人読み／数の感覚,城が建って初めて現れる。主人の食卓と毒見を差配するので味覚と毒への強さが要る。家の内側を全部知る役なので 口の軽さと野心が最も危ない。頭を下げる役なので誇りが邪魔になる。
財務長官,国家運営,数の感覚／論理／長期の記憶／正直さ,段取り／集中／観察／嘘を見抜く／慎重／忍耐／誇り／潔癖／手先の器用さ／視力／短期の記憶／勤勉,貪欲／情／信じやすさ／気分の振れ幅,数の感覚／論理／長期の記憶,数の感覚／論理／観察／嘘を見抜く／段取り／集中／貪欲,数の感覚はレアSで入口が極端に狭いが 入れた者は帳場に置けば一生伸び続ける稀な型。誇りと正直さが揃った者だけが買収も脅迫も効かない。情が高いと切り捨てる配分を出せない。邪魔な貪欲が この職に就くほど育つ（欠乏を数字で毎日見るため）。
軍務長官,国家運営,人読み／段取り／数の感覚／場を読む,顔と名前の覚え／長期の記憶／論理／慎重／度胸／観察／弁舌／序列意識／嘘を見抜く／道と方角の覚え／空間把握／図太さ,情／保身／名誉欲／気分の振れ幅,数の感覚／理解の速さ,人読み／段取り／場を読む／顔と名前の覚え／野心／残酷さ／図太さ,誰を戦に出すかを決める役。オーナーが当たり（賢くて野心の無い者）を守りたくても 出撃を決めるのはこの職なので止められない（A-16）。名誉欲が高いと自分が出たがる。
裁判官,国家運営,論理／想起の速さ／嘘を見抜く／長期の記憶,弁舌／観察／人読み／場を読む／正直さ／誇り／慎重／短期の記憶／聴力／忍耐／信心／図太さ,情／信じやすさ／貪欲／気分の振れ幅／他責,長期の記憶／想起の速さ／論理,論理／嘘を見抜く／人読み／弁舌／観察／場を読む／図太さ,成文の法があって初めて現れる。裁きは証拠と誓いで動くので 嘘を見抜けても証拠が無ければ何もできない。情が高いと縁者に甘くなり 信じやすいと誓いをそのまま採る。
監察,国家運営,観察／嘘を見抜く／嘘のうまさ／夜目,聴力／視力／人読み／場を読む／敏捷／道と方角の覚え／顔と名前の覚え／痛覚の鈍さ／慎重／執念／嫉妬／毒への強さ,口の軽さ／信じやすさ／正直さ／社交／必要睡眠,夜目／聴力,観察／嘘を見抜く／嘘のうまさ／人読み／場を読む／道と方角の覚え／図太さ,正直さが邪魔になる数少ない国家の役。オーナーが正しい事実を得る経路（正直な報告）と諜報が 同じ人間の中で両立しない。嫉妬が高い者は不当な優遇を正確に見つけるので使える。
