規模,役職,何をするか,いつ現れるか,数
家,家長,家の采配。誰を何に出すか,家ができた時点,1家に1人
村,村長,村の采配。誰を出すか・誰を追い出すか,家が数軒を超えたら,1村に1人
村,司祭,祈り・記録・仲裁,教会が建つ,1教区に1人
町,町長,町の采配,町になる,1町に1人
町,市場監督,度量衡を検める・市の揉め事を裁く,市が立つ,1市に1人
都市,学寮長,学校の采配。誰を入れるかを決める,学校ができる,1校に1人
軍,隊長,部隊の采配。誰を前に出すか,部隊ができる,1部隊に1人
国家運営,宰相,全体の采配,国になる,1国に1人
国家運営,家令,城の運営,城がある,1城に1人
国家運営,財務長官,数える。造幣と関税を含む,貨幣が回る,1国に1人
国家運営,軍務長官,誰を戦に出すか,常備軍がある,1国に1人
国家運営,裁判官,裁く,成文の法がある,複数可
国家運営,監察,見張る。諜報を含む,国が広い,1国に1人
国家運営,記録官,年代記を書く,記録すべき歴史の長さがある,1国に1人
国家運営,外交使者,他国と話す,他国と接する,複数可
国家運営,駅逓,街道と早馬の網を敷く,街道が要る距離になる,1国に1人
宗教,司教,教区を束ねる,司教座がある,1司教座に1人
宗教,異端審問,正統を守る,正統と異端の区別がある＝教義が固まっている,複数可
