番号,層,局,名前,前提
V01,村,農業局,畑を六区画そろえる,役割:畑≥6;職:農夫≥3
V02,村,農業局,三圃を回す,役割:畑≥6;職:農夫≥5;札:蔵
V03,村,農業局,菜園を開く,役割:菜園≥1;職:農夫≥3
V04,村,農業局,果樹園を開く,役割:果樹園≥1;職:農夫≥4
V05,村,農業局,牧を立てる,役割:牧草地≥1;職:牧夫≥1;札:厩つき農家
V06,村,農業局,繊維畑を開く,役割:繊維畑≥1;職:織り≥1
V07,村,農業局,水田を開く,役割:水田≥1;役割:川≥1;職:農夫≥5
V08,村,農業局,荒地を畑に変える,役割:荒地≥1;役割:畑≥7;職:農夫≥5
V09,村,農業局,堆肥を回す,札:厩つき農家;職:牧夫≥1;役割:畑≥6
V10,村,農業局,余剰を蔵に積む,札:蔵;役割:畑≥6;職:農夫≥5
V11,村,民生局,井戸を掘る,札:井戸
V12,村,民生局,木造家屋に建て替える,札:木造家屋;職:大工≥1
V13,村,民生局,石造家屋に建て替える,札:石造家屋;職:石工≥1
V14,村,民生局,隠居屋を建てる,札:隠居屋;職:大工≥1
V15,村,民生局,埋葬地を定める,札:埋葬地
V16,村,民生局,広場を開く,札:広場;段:3
V17,村,民生局,薬師を置く,職:薬師≥1
V18,村,民生局,分村を出す,段:2;役割:拠点地≥2
V19,村,民生局,大村になる,段:3;札:蔵;札:井戸
V20,村,技術部,森を確保する,役割:森林≥3;職:木こり≥1
V21,村,技術部,大工を置く,職:大工≥1;役割:森林≥3
V22,村,技術部,窯を築く,札:窯;職:焼物≥1
V23,村,技術部,水車を建てる,札:水車;役割:川≥1;職:大工≥1
V24,村,技術部,粉挽きを立てる,職:粉挽き≥1;札:水車;職:農夫≥3
V25,村,技術部,炉を築く,札:炉;職:鍛冶≥1
V26,村,技術部,坑道を開く,役割:鉱脈≥1;札:坑道;職:鉱夫≥1
V27,村,技術部,石を切り出す,役割:山≥1;職:石工≥1
V28,村,技術部,橋を架ける,札:橋;役割:川≥1;職:大工≥1
V29,村,技術部,機小屋を建てる,札:機小屋;職:織り≥1
V30,村,技術部,なめし桶を据える,札:なめし桶;職:皮なめし≥1
V31,村,商会,塩を確保する,札:製塩の窯;職:塩職人≥1
V32,村,商会,蜂を飼う,札:蜂箱;職:養蜂≥1
V33,村,商会,醸造を立てる,札:醸造の桶と竈;職:醸造≥1
V34,村,商会,漁を立てる,役割:海湖≥1;札:漁船;職:漁師≥1
V35,村,商会,猟を立てる,役割:森林≥2;職:猟師≥1
V36,村,軍務局,柵で囲う,札:柵
V37,村,軍務局,番小屋を置く,札:番小屋;札:柵
V38,村,軍務局,自警団を立てる,職:自警団≥1;札:柵
V39,村,軍務局,訓練場を作る,札:訓練場
V40,村,祭祀局,教会を建てる,札:教会;職:大工≥1
S01,街,農業局,街の腹を満たす,段:4;役割:畑≥20;職:農夫≥12
S02,街,農業局,肉を売る量にする,職:肉屋≥1;職:牧夫≥2;札:市場
S03,街,農業局,四圃で土地を治す,役割:畑≥8;役割:牧草地≥2;職:農夫≥8
S04,街,農業局,果樹と菜園を街に入れる,役割:果樹園≥2;役割:菜園≥2;段:4
S05,街,農業局,飢えない街にする,札:蔵;札:製塩の窯;役割:畑≥20
S06,街,商会,市を立てる,札:市場;段:3
S07,街,商会,店を持つ,札:商家;職:商人≥1;段:4
S08,街,商会,通貨を回す,職:両替≥1;札:両替台;職:商人≥1
S09,街,商会,行商を出す,職:行商≥1;札:市場;職:物を運ぶ職≥1
S10,街,商会,大店を構える,札:商館;職:商人≥2;段:5
S11,街,商会,宿を開く,札:宿;職:人を運ぶ職≥1;職:料理人≥1;職:給仕≥1
S12,街,商会,隊商宿を置く,札:隊商宿;段:6;札:道
S13,街,商会,厩と荷車を揃える,札:厩と荷車溜まり;職:物を運ぶ職≥1
S14,街,商会,船を出す,札:船台;職:船大工≥1;役割:海湖≥1
S15,街,商会,外洋へ出る,札:帆船;職:船乗り≥2;段:6
S16,街,商会,水路を掘る,役割:川≥2;職:技師≥1;段:5
S17,街,技術部,製錬を立てる,職:製錬≥1;札:高炉;職:鉱夫≥1
S18,街,技術部,鋼を自給する,役割:鉱脈≥1;役割:森林≥2;札:炉;職:鉱夫≥1;職:製錬≥1;職:鍛冶≥1
S19,街,技術部,武具を打つ,職:武具職人≥1;札:炉;職:鍛冶≥1
S20,街,技術部,細工師を抱える,職:細工師≥1;札:市場;職:製錬≥1
S21,街,技術部,仕立てを立てる,職:仕立て≥1;職:織り≥2;札:市場
S22,街,技術部,焼物を立てる,職:焼物≥1;札:窯
S23,街,技術部,技師を育てる,職:技師≥1;職:石工≥1;段:5
S24,街,技術部,道を舗装する,札:道;職:石工≥1;段:4
S25,街,技術部,ギルドを建てる,札:ギルドホール;職:大工≥1;段:5
S26,街,民生局,下水を通す,札:下水;職:技師≥1;職:焼物≥1
S27,街,民生局,汚物処理を置く,職:汚物処理≥1;札:下水
S28,街,民生局,風呂を建てる,札:風呂;職:風呂屋≥1
S29,街,民生局,長屋を建てる,札:長屋;段:4
S30,街,民生局,町家を建てる,札:町家;段:5
S31,街,民生局,救貧院を建てる,札:救貧院;段:5
S32,街,民生局,施療院を建てる,札:施療院;職:医者≥1;職:外科医≥1
