大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
からだ,五感,夜目,3番,B,なし,光がほとんど無くても見える。他人が何も見えずに止まっている暗さで動ける。光を持ち込まずに済むので、近づいても気づかれない。暗いあいだも手を止めずに済む。,強い光が痛い。明るいところでは他人より見えなくなる。暗いうちに動くので人と時間が合わず、明るいあいだの付き合いから外れる。暗がりで何を見たかは本人しか知らないので、見たと言えばそれが通り、見ていないと言えばそれも通る。,聴力も高いと、音と影を合わせて見えない相手の位置を取れる。度胸も高いと、一人で暗がりへ入っていける。,必要睡眠が高いと暗いうちに起きていられず、才能が使われないまま終わる。信心が高い相手からは、人でないものと見なされる。,B,非常に高い,ほぼゼロ,中間遺伝,やや高い,なし,視力とは別（明るいところの遠見が良くても暗さが利かない者がいる）。暗い場所での走力・敏捷・手先の器用さの落ち込みを抑える。,ポジション：夜番・夜の斥候・密偵。情報：夜に誰と誰が会っているかを見ている。しがらみ：見てしまったことで恨まれる。財：灯り代が浮く。
からだ,五感,色の見分け,5番,A,なし,色の違いを細かく見分けられる。同じに見えるものの中から、傷んだもの・熟れたもの・混ぜたものを色だけで選り分けられる。遠くのものが何であるかを、形が分かるより先に色で判ずる。,色に頼るので、光の乏しいところと濁ったところでは判断が止まり、他人より遅れる。見分けがつくのが本人だけなので、選り分けの当否を誰も確かめられず、外しても外したと分からないまま通る。,視力も高いと、遠くのものの色まで読める。味覚も高いと、傷んだものを色と味の二重で弾ける。,夜目が低いと、光が落ちた途端に判断そのものが止まる。慎重が低いと、色だけで決めて濁った日に大きく外す。,D,非常に高い,ほぼゼロ,中間遺伝,高い,なし,視力とは独立（見えていても色だけ抜ける者がいる）。低いのは男に偏る（母から息子へ渡る）。,スキル：染め・薬草・茸採り・反物の目利き。財：染物と反物の商い。ポジション：物見（旗の判別）。
からだ,五感,聴力,5番,B,視力,小さい音と遠い音が聞こえる。見えないものの位置・数・近づく速さを、音だけで取れる。中身が詰まっているか割れているかを、叩いた音で知る。,聞きたくない音も等しく入る。大きな音が続くところでは頭が痛み、手が止まる。隠したつもりの話まで入るので、知らないふりを続けるか、揉め事を引き受けるかしか残らない。どこまで聞こえているかは外から分からないので、近くにいる者が安心して話せなくなる。,嗅覚も高いと、見えない相手の接近を二重に取れる。人読みも高いと、声の震えから隠し事に気づく。,気分の振れ幅が高いと、絶えず音に晒されて休まらず、人の多いところに居られなくなる。嘘のうまさが低いと、聞いてしまったことが顔に出て口を塞がれる側に回る。,C,高い,ほぼゼロ,中間遺伝,中,なし,見る前に聞くので反射の発動を早める。三半規管と同じ器官なので連れて動く。,情報：立ち聞きで秘密を最も多く抱える。ポジション：夜番と諜報。しがらみ：知りすぎたことで疎まれる。
からだ,五感,嗅覚,3番,B,毒への強さ,目に見えない変化を匂いで知る。腐りと毒と病んだ肉を、口に入れる前に弾ける。風上で起きたことを、その場所を見ずに知る。獣と人の通った跡を鼻で追える。,悪い匂いから逃げられない。人と死と汚れの集まるところでは匂いに参って吐き、動けなくなる。誰の体の匂いかまで分かるので、特定の相手と同席できず、理由を言えないまま避けているように見える。,味覚も高いと、毒と腐りを二重に弾ける。触覚も高いと、草木の見立てが正確になる。,潔癖も高いと、不潔な相手を露骨に避けて孤立する。残酷さが低いと、血と腐りの匂いだけで心が折れる。,B,高い,小さい,中間遺伝,中,なし,味覚と連れて動く。病への強さとは別に腹を下す確率を下げる。,スキル：狩りの追跡・薬草・醸造・料理・手当て。ポジション：狩人と薬師。財：醸造と塩漬けの失敗が減る。
からだ,五感,味覚,3番,B,飢えへの強さ,塩・酸・苦みの加減を舌で測れる。仕込んだものがどこまで進んだかを味で知る。危ないものを飲み込む前に吐き出せる。水の善し悪しが分かる。,舌が肥えるので粗末なものが喉を通らず、食える物があるのに食わずに弱る。他人が作ったものにけちを付けるので、同じ釜で食う相手と争いになる。,嗅覚も高いと、仕込みと保存の腕が跳ね上がる。長期の記憶も高いと、良い出来を何年後でも再現できる。,貪欲も高いと、口に入れるものに金を掛けて財が残らない。飢えへの強さが低いと、不味い物を拒んで先に倒れる。,D,中,中,中間遺伝,中,なし,毒への強さの手前で効く（飲み込む前に弾く）。飢えへの強さの実際の発揮を下げる。,スキル：醸造・保存食・料理・毒の見分け。ポジション：主人の毒見役（危険だが主人の近くに立てる）。財：酒と保存食は現金になる。
からだ,五感,触覚,3番,B,痛覚の鈍さ,指で触れただけで違いが分かる。目で見えない細かさ・ざらつき・欠け・湿り・熱・脈打ちを手で測れる。見えないところにあるものを探り当てられる。皮の下で何が起きているかを、触って知る。,敏感な手は痛みも強く受け取るので、荒いものを扱うと痛みで手が止まる。手を潰す働きに就くと、才能ごと消える。,手先の器用さも高いと、細かい仕事のどれをやっても抜きん出る。視力も高いと、仕上がりが揃う。,痛覚の鈍さも高いと、指先の情報そのものが鈍って才能が死ぬ。握力が高いと力が抜けず、細かい手触りを潰す。,C,中,中,中間遺伝,中,なし,痛覚の鈍さが高いほど実効が落ちる（同じ神経を使う）。手先の器用さと組んで効く。,スキル：織り・鍛冶・骨接ぎ・産婆・農の見立て。ポジション：産婆と薬師。財：上等の織物は畑の何倍にもなる。
からだ,五感,痛覚の鈍さ,3番,A,触覚,痛みで動きが止まらない。傷を負ったまま続けられる。痛みを与えて言わせようとしても効かない。この世に痛みを止める手立てが無いので、体を切り開かれる処置に耐えて生き残れる。,痛みは体の警告なので、折れたまま歩き、膿んだまま放置し、内側の病に気づかず手遅れになる。冷えて壊れた指を落とす。鈍い者ほど早く死ぬ。どこまで壊れているかが本人にも周りにも見えないので、使う側は限界を知らないまま使い切ってしまう。,度胸も高いと、痛めつけられても口を割らないので、隠し事を預けられる。傷の治りも高いと、放置した傷でも塞がる。,触覚が高くても指先の情報が鈍り、細かい仕事の才能が死ぬ。図太さも高いと、異変を誰も読み取れずある日突然倒れて死ぬ。,A,高い,小さい,中間遺伝,やや高い,なし,触覚にマイナス。傷の治りとは別（傷の深さは同じで、気づくかどうかが違う）。寿命に隠れたマイナス。,ポジション：拷問に耐える密使と前線の兵。情報：口を割らないので秘密の運び手になる。
からだ,体の強さ,病への強さ,2番,A,なし,移る病に罹りにくく、罹っても死なない。子のうちに死なずに大人になれる。病んだ者の近くに居続けられるので、誰も近寄れなくなった場に一人だけ入れる。,自分は倒れずに病を運ぶので、行った先に病を置いてくる（本人には見えず「あの者が来てから死んだ」という話だけが残る）。丈夫だと分かると、病んだ場所へ繰り返し出される。一人だけ生き残った者は、なぜ自分が生きているのかを説明できない。,傷の治りも高いと、傷と病の両方を越えられる。飢えへの強さも高いと、痩せた年の翌年に来る病の年を越せる。,潔癖が低いと、病を撒く速さが上がる。信心が高い相手からは、一人だけ生き残ったこと自体を疑われる。,C,低い,中,中間遺伝,中,なし,寿命に強くプラス。子の生存に効く（乳飲み子の死は病が大半）。,しがらみ：疫病の生き残りは疑われるか頼られるかのどちらかに振れる。財：死んだ家の土地を継ぐ。身分：家系が絶えなければ身分が保たれる。
からだ,体の強さ,傷の治り,2番,A,老いの速さ,裂けた傷が膿まずに塞がる。折れた骨が正しく付いて曲がらない。体を切り開かれても死なない。日々の小さな傷が化膿しないので、手が使えなくなる日が無い。,治りが早いぶん休ませてもらえず、同じ場所を繰り返し痛める。傷跡が残らないので、どれだけ危ないところに居たかを誰も認めず、負った分だけの扱いを受けられない。,病への強さも高いと、傷から入る病でも死なない。疲労の抜けやすさも高いと、続けて無理が利く体になる。,痛覚の鈍さも高いと、治る前に使って骨が曲がって付き、古傷として残る。忍耐が高いと、痛みを言わないので手当てを受けそこなう。,C,中,ほぼゼロ,中間遺伝,中,なし,古傷というデバフの付きやすさを下げる（老いてからの実効値が高く保たれる）。寿命にプラス。,ポジション：前線に何度でも戻れるので古参の兵になれる。財：薬と手当ての費用が減る。
からだ,体の強さ,毒への強さ,3番,A,嗅覚,体に入ると壊れるものを取り込んでも壊れない。刺されても腫れて終わる。他人が食えないものを食えるので、食える物の幅が広い。盛られても倒れない。,効かないと知られると、危ないものを先に口へ入れる側に据えられ続ける。食える物が多いので危ういものを口にする癖が付き、いつか本当に効く量を取り込む。盛って効かないと分かれば、相手はより確実な手を選ぶので、かえって助からない殺され方をする。,味覚も高いと、口に入れる前に弾いて入っても効かない二段構えになる。嗅覚も高いと、仕込まれたこと自体を匂いで知る。,貪欲が高いと、拾い食いで当たる。信心が高い相手からは、効かないこと自体が人でない証とされる。,B,中,中,中間遺伝,中,なし,酒への強さと同じ臓腑を使うので連れて動く。食える物が増えるので、飢えへの強さの実際の幅を広げる。,ポジション：毒見役（主人の近くに立てる＝情報が入る）。情報：毒と薬の知識が付く。スキル：薬と毒の扱い。
からだ,体の強さ,寒さへの強さ,3番,A,暑さへの強さ,冷える場所で手足の先を失わない。冷えても指が動くので、他人の手が止まる時季にも働ける。燃やすものを多く要らない。冷えた者を抱いて温められる。,熱に弱い。苦にしないので冷える時季の役に回され続け、そのあいだずっと家に居ない。冷えを苦にしないので、体が芯まで冷えていることに本人が気づかない。平気そうな顔を見た周りは、引き上げ時を見誤る。,体重も高いと、冷える時季を越す体になる。飢えへの強さも高いと、冷えと食い減らしの両方に耐える（冷える時季の死はこの二つで決まる）。,暑さへの強さが低いと、一年の半分しか働けない。痛覚の鈍さも高いと、冷えて壊れた指に気づかず落とす。,D,低い,中,中間遺伝,やや高い,なし,暑さへの強さと逆に振れやすい。冷える時季の持久力と手先の器用さの落ち込みを抑える。,ポジション：冬の見張りと冬営の兵。財：薪代が浮く。スキル：冬の狩り。
からだ,体の強さ,暑さへの強さ,3番,B,寒さへの強さ,熱の中で動き続けられる。日差しの強い時刻に手を止めずに済むので、短いあいだにやり切らねばならない働きを一人で担える。火の近くに立てる。熱が理由で倒れない。,冷えに弱い。汗をかく体は水を多く要るので、水の乏しいところでは先に参る。平気な者が一人いると、同じ時刻に他の者も働けるものと見なされ、耐えられない側から倒れていく。,持久力も高いと、熱の中で誰よりも長く手を動かせる。息の長さも高いと、煙と熱の中に居続けられる。,寒さへの強さが低いと、冷える時季に使い物にならない。体重が高いと、自分の体の熱で参る。,D,低い,中,中間遺伝,中,なし,寒さへの強さと逆に振れやすい。暑い時季の持久力と最大筋力の落ち込みを抑える。,スキル：鍛冶・炭焼き・刈り入れ。ポジション：夏の遠征。財：刈り入れの取り分。
