大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
こころ,立ち向かう,度胸,11番,A,慎重,戦場で最初の一撃を受けても隊列から離れない。逃走の頻度依存カスケードの起点にならない。夜の見張り・獣の巣・敵地の斥候といった誰も行きたがらない役を引き受ける。交渉で相手の脅しに値引きしない。,勝てない戦から引かないので死にやすい。危険を過小に見積もる。低いと（臆病）先陣で崩れ、その崩れが伝染して隊が敗走する。ただし逃げる者は生き残って子を残すので、臆病は集団から消えない。局長にはこころが見えないので、臆病な男を先鋒に据えて隊ごと崩す。,＋忍耐→長い包囲でも脱走しない。＋最大筋力→前線が保つので団結への寄与が跳ねる。＋慎重→危険を測ったうえで踏み込める（同じ染色体の反対腕なので両方高いのは稀）,＋無謀（慎重が低い）→単騎で突っ込んで死に、家系が途切れる。＋気分の振れ幅が高い→勇と怯が月替わりで振れ、隊が本人を読めない。＋残酷さ→捕虜を独断で殺し体制怨恨を積む,D,該当なし,該当なし／危険な役を生きて帰るたびに育つ。ただし生まれつき低い者は最初の一戦で壊れ、何度出しても二度と立たない,優劣,高い,なし,打たれ強さ・痛覚の鈍さと束になる。恐慌に落ちにくいぶん集中が実質的に上がる。同じ染色体の反対腕が慎重なので、測ったうえで踏み込める指揮官型は稀にしか生まれない,スキル＝戦技と狩技の努力値が積まれやすい（危険な現場に立つ回数が多い）。ポジションランク＝軍務系の役に就きやすい。身分ランク＝戦功は平民から騎士に上がる数少ない経路。しがらみ＝守られた者から借りの線が張られる。財＝戦死すると分割相続で散る
こころ,立ち向かう,忍耐,11番,A,他責,飢饉・冬・長い包囲のあいだ働き続ける。不満が民心の低下に転じるまでの猶予が長い。徒弟修業を最後まで続けるので、覚えの遅い技も身につく。,我慢するので不満が表に出ない。本人も局長も限界に気づかず、超えた瞬間に一気に折れる（心が折れる状態異常が深く長い）。搾取されても声を上げないので、悪い局長はその村を選んで絞る。低いと（短気）諍いで人を殺し、個人怨恨の線が量産される。,＋勤勉→10年単位で努力値が最も積まれる型。＋従順→重い賦役でも一揆が起きない。＋信心→飢饉に最も強い心の組,＋執念→我慢しながら恨みだけ溜め続け、20年後に謀反側に立つ。＋気分の振れ幅が高い→我慢と爆発を繰り返し、家の中のしがらみを自分で壊す。＋保身→不当な扱いを訴えないので、悪い采配が発覚しない,E,該当なし,該当なし／飢饉と長い修業を越えるたびに育つ。逆に一度限界を超えて折れると大きく戻る,優劣,やや高い,なし,持久力・疲労の抜けやすさと噛み合う。集中を伸ばす。同じ染色体の反対腕が他責なので、自分のせいだと思って耐える者と人のせいにして投げ出す者に分かれる,スキル＝閾値の高い技を最後まで習得できる。しがらみ＝短気側は恨みの線を量産する。ポジションランク＝長い交渉が要る役に向く。財＝短気は賠償と刃傷沙汰で減らす
こころ,立ち向かう,慎重,11番,B,度胸,危険を過小に見積もらない。冬に備えて種籾を残す。橋の腐りと堤の緩みに気づく。負ける戦を早く見切るので隊が生き残る。毒と腐った食物を避ける。,好機を逃す。決断が遅く、飢饉で動くべきときに動かない。行動として見ると臆病と区別がつかないので、こころの見えない局長には使えない男に映る。低いと（無謀）勝算のない戦を始め、無理な開墾で人を死なせる。,＋度胸→危険を測ったうえで踏み込める。指揮官の理想型だが同じ染色体の反対腕なので両方高いのは稀。＋観察→罠と待ち伏せを見抜く。＋数の感覚→備蓄と兵站の判断が正確になる,＋保身→何も決めない不作為になり、産出が説明なく下がる。＋臆病（度胸が低い）→何一つ引き受けない。こころが見えない局長は怠けていると誤って罰する。＋低い弁舌→正しい警告が誰にも通らない,E,該当なし,該当なし／痛い目に遭って生きて帰った回数で育つ。無傷で育った者は歳を取っても慎重にならない,優劣,やや高い,なし,観察・場を読むと噛み合う。反射や敏捷とは無関係で、混同すると配役を外す,財＝蓄えが残り飢饉の生存率に直結する。情報＝危険の知識を溜める。ポジションランク＝兵站・出納の役に向く。しがらみ＝人を死なせないので恨みを買わない。スキル＝危険な現場を避けるぶん戦技が伸びない
こころ,欲する,野心,10番,A,従順,役に就きたがるので、与えられた役で全力を出す（意欲係数の本体）。閾値の高い職に自分から進む。危険な役を買って出て身分を上げる。素の野心に加えて、知性が上位20%を超えた分×0.6が常に乗るので、賢い者は探さなくても自分から役を取りに来る。立場が上がるたびに加算が積まれるので、重く用いた者ほどその役で出す力が大きい。ラチェットなので降ろされても働く意欲だけは落ちない。,今の役に満足しないので、上が詰まると腐って働かなくなる。三つの足し算のうち立場の分は上がるだけで下がらないので、オーナーが引き上げた者だけが危険になる。左遷しても降格しても野心は一つも減らず、恨みの線だけが増える。隔離を続ければ、優秀で野心があって恨んでいて団結した集落を自分の手で作ることになる。消えるのは寿命によってのみ。野心が高いだけでは謀反しない。恨みの線と、飢饉・粛清・敗戦のような状況が揃って初めて動く。局長にはこころが見えないので、野心90の男を良かれと思って抜擢する。オーナーには見えるが、罰せるのは謀反ではなくその男を選んだ局長のほうである。低いと（安住）能力があっても役を断り、才能が畑で終わる。ただし知性が上位10%で野心20未満の者は89人に1人の当たりで、局長には賢い男としか見えず、オーナーだけが当たりだと分かる。戦で死なせないために引き上げれば立場の加算が乗り、守ろうとした瞬間に当たりでなくなる。,＋弁舌→人を集められるので局長候補になる。＋勤勉→身分を実力で上げる数少ない型。＋段取り→就いた役の産出が実際に上がる。＋論理と理解の速さ→知性の分が上乗せされ、賢さと意欲が同時に立つので探す手間が要らない,＋執念＋恨みの線→謀反の三条件のうち二つが揃う。残りは状況だけ。しかも降格しても野心が落ちないので、左遷は恨みだけを足す。＋序列意識が高く身分が低い→上がれない理由を制度に帰し、体制怨恨に転じる。＋短気（忍耐が低い）→待てずに早すぎる時期に動いて潰される。＋高い知性→賢さで選んだつもりが野心で選んでいる。＋気分の振れ幅が高い→立場で積んだ分まで増幅され、満たされない月の不満が跳ねる,D,該当なし,該当なし／立場が上がるたびに加算される（ラチェット。上がるが下がらない。消えるのは寿命のみ）。知性が上位20%を超えた分×0.6も常時乗る,優劣,中,なし,弁舌・段取りの努力値を積ませる。勤勉と相関はしないが外から見た結果が似るので取り違えやすい。あたまの知性が上位20%を超えた分×0.6がこの値に加算されるので、素が低くても賢ければ高く出る。遺伝して座位に載るのは素の分だけで、表示される値は素と知性と立場の合計である,ポジションランク＝役を取りに行く。意欲係数を押し上げる最大の要因。就いた段（村長・街長・局長）の数だけ加算が積み上がる。身分ランク＝上げようとする。しがらみ＝派閥の線を張る（安住側は張らない）。降ろしても値は落ちないので恨みの線だけが増える。情報＝上の動きを集める。財＝役を取るために散財する
こころ,欲する,名誉欲,10番,A,保身,称号・褒賞・名で満たせるので、実資源をほとんど渡さずに働かせられる。武勲を立てたがるので危険な戦に出る。名を残すために堤・橋・寺を作る。,名を汚されると死ぬまで許さない。褒賞が他人に行くと、それがそのまま不満になる。式典と体面に財をかけるので家が傾く。低いと（無欲）褒賞でも称号でも動かないので、オーナーが外から操作できる手が一本まるごと消える。,＋誇り→軍の顔になり士気の中心になる。＋勤勉→名のために生涯働き続ける。＋度胸→誰も引き受けない役を名誉として引き受ける,＋嫉妬→他人の叙勲が自分の損失になり、讒言に走る。＋執念→一度の恥辱を家系の恨みにする。＋気分の振れ幅が高い→称賛のたびに舞い上がり、無視された月に崩れる。＋野心→立場が上がるほど名誉の欲も満たされにくくなり、次の段を求め続ける,F,該当なし,該当なし／褒賞と称号を受けた回数で育つ。幼少期にそれで満たされた者は外発になり、褒賞が止まると動かなくなる,優劣,やや低い,なし,誇り・序列意識と束になりやすい。野心・誇りと同じ腕にあるので、従順で御しやすい血を集めると、名誉だけで安く動かせる者も一緒に消える,身分ランク＝叙勲を求める。財＝名のために使うので減る。しがらみ＝恥をかかせた相手への恨みの線。ポジションランク＝目立つ役を選び、地味だが要の役を嫌う。情報＝自分の評判ばかり集める
こころ,欲する,貪欲,14番,A,正直さ,財を増やそうとするので開墾・交易・貸付に手を出し、国の富の総量を押し上げる。飢饉の前に蓄える（蓄えは餓死判定に直接効く）。,横領と隠匿の本体。民心が下がった局面で、反乱を起こす前にまず収穫を隠す。それが産出率を消費より下げる崩壊条件に直結する。頻度依存が効くので、貪欲な者が増えれば経済が崩れて奪う先が消える。低いと（足るを知る）蓄えないので、不作の年に一家が消える。,＋段取り＋数の感覚→出納と交易で財が跳ねる。＋忍耐→何十年もかけて土地を集める。＋慎重→蓄えが飢饉を越す,＋体制怨恨の線→隠匿が盗みではなく正当な取り返しになり、抑止が効かなくなる。＋低い正直さ→帳簿を偽る。局長は数字だけを見て正しいと判断する。＋残酷さ→取り立てで人を殺し、村ごと恨みの線が張られる,N,該当なし,該当なし／飢えと欠乏を一度くぐると育つ。豊かなまま育った者は歳を取っても蓄えない,優劣,やや高い,なし,数の感覚・段取りを活かす。飢えへの強さの不足を蓄えで補える。同じ染色体の反対腕が正直さなので、秤を誤魔化す血からは帳簿を汚さない者が出にくい,財＝増える。ただし隠した分は国に計上されない。情報＝相場と誰が何を持っているかを集める。しがらみ＝貸しの線を大量に張る（相手を縛るが恨みも生む）。ポジションランク＝出納の役に就けると横領する
こころ,欲する,勤勉,11番,A,なし,努力値が積まれる回数が多い。同じ才能でも10年で差がつく。冬のあいだも道具を直し、畑の縁を整える。,体を壊す。疲労と古傷が早く来て、老いの倍率が先に下がる。休まないので病への抵抗が落ちる。周りにも同じ働きを要求するので、怠惰な者との間に軋轢が生まれる。低いと（怠惰）働かないが、怠惰は長命で疲労が溜まらないという出力を持つので、飢饉の年に生き残るのはむしろ怠惰な側のことがある。頻度依存で、怠惰が増えれば全員飢える。,＋忍耐→努力値の総量が最大になる型。＋学習速度→若いうちに職が固まる（早期の配役が最も効く）。＋潔癖→仕上げの質が落ちない,＋無謀（慎重が低い）→無理を続けて30代で古傷を抱える。＋序列意識が高い→働かない上役への怨恨に転じる。＋気分の振れ幅が高い→働きすぎと寝込みを繰り返し、通年では凡人に届かない,D,該当なし,該当なし／幼少期にどれだけ働かされたかで決まる。大人になってからはほとんど動かず、代わりに周囲からうつる,優劣,やや低い,なし,持久力を消耗させる。老いの速さを早める。野心とは相関しないので上昇↔安定の染色体には載せていない（外から見た結果が似るので取り違えやすい）。持久力と老いの速さは遺伝方式が違うため連鎖にはできず、実行時に掛かる,スキル＝全スキルの伸びに掛かる。財＝増える。しがらみ＝怠惰な血縁を養う負担から軋轢が生まれる。身分ランク＝勤勉だけでは上がらない（身分は生まれで決まる）
こころ,欲する,保身,10番,B,名誉欲,自分と家族を守るので危険な役を避けて長生きし、血が途切れない。無理な出兵をしないので部下も死なない。慎重と組めば、本当に危ない案件だけを止められる。,不作為の本体。決めるべきときに決めず、責任の所在を曖昧にする。産出が下がっていても報告しない（自分の落ち度になるから）。あたまが天才的でも意欲係数が落ちるので、抜擢しても能力の数割しか出ない。局長にはこころが見えないので、数字だけ見て抜擢して外す。部下を切って自分が残る。低いと（捨て身）自分を勘定に入れないので要のときに命を張るが、簡単に死ぬので育てた才能が消える。,＋慎重→本当に危ない案件だけ止められる参謀型（両方高いのは稀）。＋人読み→誰に責任を負わせずに済むかを見抜き、実際に部下を守る,＋低い正直さ→都合の悪い報告を握り潰す。年代記に偽の帰属が刻まれる。＋野心→上がりたいが責任は取らない。最も質の悪い局長。しかも立場で野心だけが積み上がるので、段を上げるほど悪化する。＋序列意識→上には従い下には押し付ける,N,該当なし,該当なし／一度責任を取らされて失脚した経験で跳ね上がる。若い頃の一度の粛清が生涯の型を決める,優劣,中,なし,慎重と紛らわしいが別物。慎重は判断の質、保身は動機。取り違えると配役を外す。野心の反対腕にあるので、危ない男を避けて安全な血を集め続けると決めない者ばかりが残る,ポジションランク＝意欲係数を下げるので、就いても力を出さない。情報＝都合の悪い情報を上に流さない。財＝隠す。しがらみ＝切り捨てた部下から恨みの線。身分ランク＝守るが上げない
こころ,人を思う,情,12番,A,残酷さ,子と老人を見捨てないので家族の生存率が上がる。飢饉のとき分け合うので村の総生存者が増える。人が付いてくるので隊がまとまる。,切るべき者を切れない。役に立たない縁者を役に据える（縁故でポジションの質が落ちる）。飢饉で自分の分を子に渡して死ぬ。捕虜を殺せず、逃がした相手が情報を持ち帰る。低いと（非情）粛清・間引き・見捨てが平然とできるので統治は効率的だが、粛清は体制怨恨を生み3世代後に謀反として返る。,＋人読み→誰が本当に困っているかが分かり、村の要になる。＋恩義→受けた恩を返し、しがらみの正の線が厚くなる。＋伝承意欲→子と弟子を最後まで教える,＋序列意識が高い→身内には情、外には序列。派閥の温床になる。＋色欲→情のつもりで手を出し、不倫の線を作る。＋低い正直さ→情に流されて帳簿と報告を歪める,E,該当なし,該当なし／生まれつきで経験ではほとんど動かない。子を持つと一時的に濃くなるが、素の値は生涯変わらない,優劣,中,なし,人読み・場を読むと噛み合う。同じ染色体の反対腕が残酷さなので、情の濃い血を集めると刑吏と間引きの担い手がいなくなる,しがらみ＝正の線（恩・借り）を厚く張る。ポジションランク＝縁故人事で質を落とす。財＝分け与えるので減る。情報＝相談される側になるので集まる
こころ,人を思う,執念,12番,B,信じやすさ,一度始めたことを終わらせる。10年かかる開墾・堤・仇討ちを完遂する。恩も忘れないので恩義の線が一生切れない。長い包囲と長い交渉で相手より先に折れない。,体制怨恨の本体。受けた仕打ちを忘れず、しかも子に語って継がせる。個人怨恨は本人の死で消えるが、執念の高い家系では体制への恨みとして残り続け、局長を切っても消えない（恨みは最初から局長個人に向いていない）。冤罪は最も純度の高い恨みを生むので、無実の者を罰したとき執念の高い家系だと3世代後に必ず返ってくる。低いと（淡白）恨みを引きずらないので統治は楽だが、恩も忘れる（忘恩）ので、助けた者が味方にならない。,＋忍耐→何十年でも待てるので、大工事と長期の交易に向く。＋長期の記憶→細部まで覚えている。年代記の生き証人になる。＋恩義→一度味方になれば一生味方,＋野心＋恨みの線→謀反の三条件のうち二つ。あとは飢饉・粛清・敗戦のどれかが来れば動く。しかも野心は降格しても落ちないので、左遷は恨みだけを足す。＋伝承意欲→恨みが家訓になり、血が絶えるまで消えない。＋残酷さ→報復が過剰になり、相手の家系にも同じ恨みが生まれて村が二つに割れる,C,該当なし,該当なし／恨みや誓いの本数は経験で増えるが、忘れにくさそのものは生涯ほとんど変わらない,優劣,高い,なし,長期の記憶と噛み合う。忍耐と束になる。同じ染色体の反対腕が信じやすさなので、忘れて信じ直す者と一生忘れない者に分かれる,しがらみ＝恨みの線が消えず、継承のときに出所（原因の事件）ごと引き継がれる。情報＝誰が何をしたかを覚えて子に伝える。ポジションランク＝前任者として弾かれると怨恨ノードになる（人事は流血しない粛清）。財＝復讐のために散財する
