大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
こころ,立ち向かう,度胸,11番,A,慎重,恐れで体が止まらない。危険が目の前にあっても、そこから離れない。逃げるという選択を先に取らない。脅されても判断が動かない。誰も引き受けたがらない危ないところへ、自分から出る。,危険を実際より小さく見積もる。引くべきときに引かないので、命を落としやすい。この値は外から見えず、行動の結果でしか分からないので、低い者を危ないところへ置いたと気づくのは、崩れたあとになる。低いと（臆病）危険の前で先に崩れ、その崩れが周りに伝染する。ただし逃げる者は生き延びて子を残すので、臆病は集団から消えない。,＋忍耐→危険が長く続いても離れない。＋最大筋力→踏み止まったことが実際の結果に変わる。＋慎重→危険を測ったうえで踏み込める（同じ染色体の反対腕なので両方高いのは稀）,＋低い慎重→測らずに突っ込んで死に、家系が途切れる。＋気分の振れ幅が高い→勇と怯が月替わりで振れ、周りが本人を読めない。＋残酷さ→独断で人を殺し、体制怨恨が積む,D,該当なし,該当なし／危険な役を生きて帰るたびに育つ。ただし生まれつき低い者は最初の一戦で壊れ、何度出しても二度と立たない,優劣,高い,なし,打たれ強さ・痛覚の鈍さと束になる。恐慌に落ちにくいぶん集中が実質的に上がる。同じ染色体の反対腕が慎重なので、測ったうえで踏み込める型は稀にしか生まれない,スキル＝戦技と狩技の努力値が積まれやすい（危険な現場に立つ回数が多い）。ポジションランク＝軍務系の役に就きやすい。身分ランク＝戦功は平民から騎士に上がる数少ない経路。しがらみ＝守られた者から借りの線が張られる。財＝戦死すると分割相続で散る
こころ,立ち向かう,忍耐,11番,A,他責,同じことを長く続けられる。結果が出るまでが長い物事に耐えられる。苦しい状態が続いても行動が変わらない。不満が外に出るまでの猶予が長い。,我慢するので不満が外に出ない。本人も周りも限界に気づかず、超えた瞬間に一気に折れる（心が折れる状態異常が深く長い）。限界が外から見えないので、絞る側は絞りすぎたことに気づけない。不当に扱われても声を上げないので、扱いの悪さがどこまでも続く。低いと（短気）諍いで人を殺し、個人怨恨の線が量産される。,＋勤勉→10年単位で努力値が最も積まれる型。＋従順→重い負担を課しても反抗にならない。＋信心→欠乏に最も強い心の組,＋執念→耐えながら恨みだけ溜め続け、20年後に体制怨恨の側に立つ。＋気分の振れ幅が高い→我慢と爆発を繰り返し、身近なしがらみを自分で壊す。＋保身→不当な扱いを訴えないので、悪い采配が表に出ない,E,該当なし,該当なし／飢饉と長い修業を越えるたびに育つ。逆に一度限界を超えて折れると大きく戻る,優劣,やや高い,なし,持久力・疲労の抜けやすさと噛み合う。集中を伸ばす。同じ染色体の反対腕が他責なので、自分のせいだと思って耐える者と人のせいにして投げ出す者に分かれる,スキル＝閾値の高い技を最後まで習得できる。しがらみ＝短気側は恨みの線を量産する。ポジションランク＝長い交渉が要る役に向く。財＝短気は賠償と刃傷沙汰で減らす
こころ,立ち向かう,慎重,11番,B,度胸,危険を過小に見積もらない。先に起きることを勘定に入れて、いま余力を残す。壊れかけているものの兆しに気づく。勝ち目がないと分かったときに早く見切る。口に入れてはいけないものを避ける。,好機を逃す。決断が遅く、動くべきときに動かない。行動として見ると臆病と区別がつかないので、この値が見えない者には使えない男に映る。低いと（無謀）勝算のないことを始め、無理をさせて人を死なせる。,＋度胸→危険を測ったうえで踏み込める。理想の組だが同じ染色体の反対腕なので両方高いのは稀。＋観察→仕掛けられた危険を見抜く。＋数の感覚→蓄えと配分の判断が正確になる,＋保身→何も決めない不作為になり、産出が説明なく下がる。＋低い度胸→何一つ引き受けない。この値が見えない者は怠けていると誤って罰する。＋低い弁舌→正しい警告が誰にも通らない,E,該当なし,該当なし／痛い目に遭って生きて帰った回数で育つ。無傷で育った者は歳を取っても慎重にならない,優劣,やや高い,なし,観察・場を読むと噛み合う。反射や敏捷とは無関係で、混同すると人選を外す,財＝蓄えが残り飢饉の生存率に直結する。情報＝危険の知識を溜める。ポジションランク＝兵站・出納の役に向く。しがらみ＝人を死なせないので恨みを買わない。スキル＝危険な現場を避けるぶん戦技が伸びない
こころ,欲する,野心,10番,A,従順,上へ行きたがる。与えられた立場で全力を出す（意欲係数の本体）。閾値の高いものにも自分から進む。危険を引き受けてでも身分を上げようとする。素の分に加えて、知性が上位20%を超えた分×0.6が常に乗るので、賢い者は探さなくても自分から取りに来る。立場が上がるたびに加算が積まれるので、重く用いた者ほどその立場で出す力が大きい。ラチェットなので降ろされても働く意欲だけは落ちない。,いまの立場に満足しない。上が詰まると腐って働かなくなる。三つの足し算のうち立場の分は上がるだけで下がらないので、引き上げた者だけが危険になる。降ろしても値は一つも減らず、恨みの線だけが増える。遠ざけ続ければ「有能で野心があって恨んでいて団結した集まり」を自分の手で作ることになる。消えるのは寿命によってのみ。ただし高いだけでは謀反しない。恨みの線と状況が揃って初めて動く。この値は外から見えないので、能力で選んだつもりが野心で選んでいたことに、選んだ側は最後まで気づけない。低いと（安住）能力があっても立場を断るので、才能が使われないまま終わる。ただし知性が上位10%で野心20未満の者は89人に1人の当たりで、危険から遠ざけるには引き上げるしかなく、引き上げれば立場の加算が乗る。守ろうとした瞬間に当たりでなくなる。,＋弁舌→人を集められる。＋勤勉→身分を実力で上げる数少ない型。＋段取り→就いた立場の産出が実際に上がる。＋論理と理解の速さ→知性の分が上乗せされ、賢さと意欲が同時に立つので探す手間が要らない,＋執念＋恨みの線→謀反の三条件のうち二つが揃う。残りは状況だけ。しかも降ろしても野心が落ちないので、遠ざけることは恨みだけを足す。＋序列意識が高く身分が低い→上がれない理由を制度に帰し、体制怨恨に転じる。＋低い忍耐→待てずに早すぎる時期に動いて潰される。＋高い理解の速さ→賢さで選んだつもりが野心で選んでいる。＋気分の振れ幅が高い→立場で積んだ分まで増幅され、満たされない月の不満が跳ねる,D,該当なし,該当なし／立場が上がるたびに加算される（ラチェット。上がるが下がらない。消えるのは寿命のみ）。知性が上位20%を超えた分×0.6も常時乗る,優劣,中,なし,弁舌・段取りの努力値を積ませる。勤勉と相関はしないが外から見た結果が似るので取り違えやすい。あたまの知性が上位20%を超えた分×0.6がこの値に加算されるので、素が低くても賢ければ高く出る。遺伝して座位に載るのは素の分だけで、表示される値は素と知性と立場の合計である,ポジションランク＝役を取りに行く。意欲係数を押し上げる最大の要因。就いた段（村長・街長・局長）の数だけ加算が積み上がる。身分ランク＝上げようとする。しがらみ＝派閥の線を張る（安住側は張らない）。降ろしても値は落ちないので恨みの線だけが増える。情報＝上の動きを集める。財＝役を取るために散財する
こころ,欲する,名誉欲,10番,A,保身,名と称号と人からの称賛で満たされる。実の資源をほとんど渡さずに動かせる。名を残すために危険を引き受け、後の代まで残るものを作ろうとする。,名を汚されると死ぬまで許さない。称賛が他人に行くと、それがそのまま不満になる。体面のために財を使うので家が傾く。低いと（無欲）褒めても称号を与えても動かないので、外から動かす手が一本まるごと消える。,＋誇り→人の中心に立てる。＋勤勉→名のために生涯働き続ける。＋度胸→誰も引き受けない危険を名誉として引き受ける,＋嫉妬→他人が讃えられることが自分の損失になり、陥れる側に回る。＋執念→一度の恥辱を家系の恨みにする。＋気分の振れ幅が高い→称賛のたびに舞い上がり、無視された月に崩れる。＋野心→立場が上がるほど名誉の欲も満たされにくくなり、次の段を求め続ける,F,該当なし,該当なし／褒賞と称号を受けた回数で育つ。幼少期にそれで満たされた者は外発になり、褒賞が止まると動かなくなる,優劣,やや低い,なし,誇り・序列意識と束になりやすい。野心・誇りと同じ腕にあるので、従順で御しやすい血を集めると、名誉だけで安く動かせる者も一緒に消える,身分ランク＝叙勲を求める。財＝名のために使うので減る。しがらみ＝恥をかかせた相手への恨みの線。ポジションランク＝目立つ役を選び、地味だが要の役を嫌う。情報＝自分の評判ばかり集める
こころ,欲する,貪欲,14番,A,正直さ,財を増やそうとする。手を広げ、人に貸し、値の差を取りに行くので、集団全体の富の総量が押し上がる。欠乏が来る前に蓄える（蓄えは餓死判定に直接効く）。,横領と隠匿の本体。数を自分の側に寄せる。苦しくなった局面で、まず自分の取り分を隠す。それが産出を消費より下げる崩壊条件に直結する。頻度依存が効くので、貪欲な者が増えれば奪う先そのものが消える。低いと（足るを知る）蓄えないので、実りの悪い年に一家が消える。,＋段取り＋数の感覚→数を扱うことで財が跳ねる。＋忍耐→何十年もかけて土地を集める。＋慎重→蓄えが欠乏を越す,＋体制怨恨の線→隠匿が盗みではなく正当な取り返しになり、抑止が効かなくなる。＋低い正直さ→数を偽る。上に届く数字は正しいままなので発覚しない。＋残酷さ→取り立てで人を殺し、一帯に恨みの線が張られる,N,該当なし,該当なし／飢えと欠乏を一度くぐると育つ。豊かなまま育った者は歳を取っても蓄えない,優劣,やや高い,なし,数の感覚・段取りを活かす。飢えへの強さの不足を蓄えで補える。同じ染色体の反対腕が正直さなので、誤魔化して得を取る血からは、見たままを渡す者が出にくい,財＝増える。ただし隠した分は国に計上されない。情報＝相場と誰が何を持っているかを集める。しがらみ＝貸しの線を大量に張る（相手を縛るが恨みも生む）。ポジションランク＝出納の役に就けると横領する
こころ,欲する,勤勉,11番,A,なし,手を動かしている時間が長い。同じ才能でも努力値が積まれる回数が多く、10年で差がつく。手が空いた時間を、次に要るものの手入れに使う。,体を壊す。疲労と古傷が早く来て、老いの倍率が先に下がる。休まないので病への抵抗が落ちる。周りにも同じ量を求めるので、そうでない者との間に軋轢が生まれる。低いと（怠惰）働かないが、怠惰は疲労が溜まらず長命という出力を持つので、食う物の足りない年に生き残るのはむしろ怠惰の側のことがある。頻度依存で、怠惰が増えれば全員が飢える。,＋忍耐→努力値の総量が最大になる型。＋学習速度→若いうちに身につけるものが固まる（早い割り当てが最も効く）。＋潔癖→仕上げの質が落ちない,＋低い慎重→無理を続けて30代で古傷を抱える。＋序列意識が高い→働かない上の者への怨恨に転じる。＋気分の振れ幅が高い→働きすぎと寝込みを繰り返し、通年では凡人に届かない,D,該当なし,該当なし／幼少期にどれだけ働かされたかで決まる。大人になってからはほとんど動かず、代わりに周囲からうつる,優劣,やや低い,なし,持久力を消耗させる。老いの速さを早める。野心とは相関しないので上昇と安定の染色体には載せていない（外から見た結果が似るので取り違えやすい）。持久力と老いの速さは遺伝方式が違うため連鎖にはできず実行時に掛かる,スキル＝全スキルの伸びに掛かる。財＝増える。しがらみ＝怠惰な血縁を養う負担から軋轢が生まれる。身分ランク＝勤勉だけでは上がらない（身分は生まれで決まる）
こころ,欲する,保身,10番,B,名誉欲,自分と身内を守る。危険を避けるので長く生き、血が途切れない。無理を通さないので、下に付く者も死なない。慎重と組めば、本当に危ないものだけを止められる。,不作為の本体。決めるべきときに決めず、責任の所在を曖昧にする。悪くなっていることを上に伝えない（自分の落ち度になるから）。あたまが天才的でも意欲係数が落ちるので、重く用いても能力の数割しか出ない。この値は外から見えないので、数字だけを見て選んだ側は必ず外す。危なくなれば下の者を切って自分が残る。低いと（捨て身）自分を勘定に入れないので要のときに命を張るが、簡単に死ぬので育てた才能が消える。,＋慎重→本当に危ないものだけ止められる（両方高いのは稀）。＋人読み→誰に責任を負わせずに済むかを見抜き、実際に下の者を守る,＋低い正直さ→都合の悪い報告を握り潰す。年代記に偽の帰属が刻まれる。＋野心→上がりたいが責任は取らない。しかも立場で野心だけが積み上がるので、段を上げるほど悪化する。＋序列意識→上には従い下には押し付ける,N,該当なし,該当なし／一度責任を取らされて失脚した経験で跳ね上がる。若い頃の一度の粛清が生涯の型を決める,優劣,中,なし,慎重と紛らわしいが別物。慎重は判断の質、保身は動機。取り違えると人選を外す。野心の反対腕にあるので、危ない男を避けて安全な血を集め続けると決めない者ばかりが残る,ポジションランク＝意欲係数を下げるので、就いても力を出さない。情報＝都合の悪い情報を上に流さない。財＝隠す。しがらみ＝切り捨てた部下から恨みの線。身分ランク＝守るが上げない
こころ,人を思う,情,12番,A,残酷さ,弱った者を見捨てない。持っている物を分けるので、身内と周りの生存率が上がる。人が付いてくるので集まりがまとまる。,切るべき者を切れない。役に立たない縁者を引き上げる（縁故で人の配置の質が落ちる）。足りないときに自分の分を渡して死ぬ。始末をつけるべき相手を逃し、逃した者が向こう側に情報を持ち帰る。低いと（非情）人を減らす決定を平然と実行できるので統治は効率的だが、それは殺された側の家系に体制怨恨を生み3世代後に返る。,＋人読み→誰が本当に困っているかが分かり、周りの要になる。＋恩義→受けた恩を返し、しがらみの正の線が厚くなる。＋伝承意欲→教える相手を最後まで見捨てない,＋序列意識が高い→身内には情、外には序列。派閥の温床になる。＋色欲→情のつもりで手を出し、不倫の線を作る。＋低い正直さ→情に流されて数と報告を歪める,E,該当なし,該当なし／生まれつきで経験ではほとんど動かない。子を持つと一時的に濃くなるが、素の値は生涯変わらない,優劣,中,なし,人読み・場を読むと噛み合う。同じ染色体の反対腕が残酷さなので、情の濃い血を集めると、誰もが嫌がる始末を引き受ける者がいなくなる,しがらみ＝正の線（恩・借り）を厚く張る。ポジションランク＝縁故人事で質を落とす。財＝分け与えるので減る。情報＝相談される側になるので集まる
こころ,人を思う,執念,12番,B,信じやすさ,一度始めたことを終わらせる。10年かかることを最後まで運ぶ。受けた恩も忘れないので正の線が一生切れない。長く続く睨み合いで相手より先に折れない。,体制怨恨の本体。受けた仕打ちを忘れず、しかも子に語って継がせる。個人怨恨は本人の死で消えるが、執念の高い家系では体制への恨みとして残り続け、恨まれた個人を除いても消えない（恨みは最初からその個人に向いていない）。無実の者を罰したとき最も純度の高い恨みが生まれるので、執念の高い家系なら3世代後に必ず返ってくる。低いと（淡白）恨みを引きずらないので統治は楽だが、恩も忘れる（忘恩）ので、助けた者が味方にならない。,＋忍耐→何十年でも待てるので、年月のかかる物事を完遂する。＋長期の記憶→細部まで覚えている。年代記の生き証人になる。＋恩義→一度味方になれば一生味方,＋野心＋恨みの線→謀反の三条件のうち二つ。あとは状況が来れば動く。しかも野心は降ろしても落ちないので、遠ざけることは恨みだけを足す。＋伝承意欲→恨みが家訓になり、血が絶えるまで消えない。＋残酷さ→報復が過剰になり、相手の家系にも同じ恨みが生まれて集団が二つに割れる,C,該当なし,該当なし／恨みや誓いの本数は経験で増えるが、忘れにくさそのものは生涯ほとんど変わらない,優劣,高い,なし,長期の記憶と噛み合う。忍耐と束になる。同じ染色体の反対腕が信じやすさなので、忘れて信じ直す者と一生忘れない者に分かれる,しがらみ＝恨みの線が消えず、継承のときに出所（原因の事件）ごと引き継がれる。情報＝誰が何をしたかを覚えて子に伝える。ポジションランク＝前任者として弾かれると怨恨ノードになる（人事は流血しない粛清）。財＝復讐のために散財する
