規模,職業,就ける身分,何をするか,いつ現れるか,備考,身分の理由
家,家事,貧民〜貴族,煮炊き・水汲み・繕い・子守,最初から,,
家,乳母,貧民〜平民,他家の子に乳をやる,乳の出る女が余る,女のみ。乳兄弟という縁を生む,
村,農夫,貧民〜平民,耕す・蒔く・刈る,最初から,,
村,牧夫,貧民〜平民,家畜を見る。羊・豚・牛,家畜がいる,,
村,猟師,貧民〜平民,森で獣を獲る,森がある,,
村,漁師,貧民〜平民,川と海で獲る,水がある,,
村,木こり,貧民〜平民,木を伐る・炭を焼く,森がある,,
村,鍛冶,平民〜富裕,金属を打つ,鉄が手に入る,,
村,大工,平民〜富裕,木を組む。家・桶・屋根,最初から,,
村,織り,貧民〜平民,糸を布にする,羊か麻がある,,
村,皮なめし,貧民,獣の皮を革にする,家畜か獣がいる,臭いで嫌われる,臭いで嫌われ住む場所も隔てられる
村,粉挽き,平民〜富裕,穀物を粉にする,水車が要る。余剰の穀物が要る,取り分を掠める憎まれ役,
村,養蜂,貧民〜平民,蜜と蝋を採る,花がある,蜜は唯一の甘味、蝋は唯一の明かり,
村,薬師,貧民〜平民,薬草・産婆・傷の手当,最初から,,
村,自警団,平民,村を見回る,村が襲われうる,輪番。誰が仕切るかは決まる,土地を持つ者の務め。貧民は入れない
町,武具職人,富裕,命が懸かる精度で金属を打つ,戦が続く,,ギルドが厳しい。縁故と金が要る
町,石工,平民〜富裕,石を切り、積む,石造りの物を建てる理由がある,,
町,細工師,富裕,金銀と宝石を扱う,富が集まる,,扱う材料が高価。信用が要る
町,焼物,平民〜富裕,陶とガラスを焼く,窯がある,,
町,仕立て,平民〜富裕,布を形にする,布が余る,,
町,船大工,平民〜富裕,船を組む,水運がある,,
町,鉱夫,貧民,坑道で掘る,鉱脈がある,資源の源,命が短い。他に行き場が無い者が入る
町,製錬,貧民〜平民,鉱石を金属にする,鉱石が採れる,,
町,塩職人,平民〜富裕,海水を煮る／岩塩を掘る,海か岩塩がある,塩が無いと冬を越せない,
町,商人,平民〜富裕,仕入れて売る,市が立つ,,
町,行商,貧民〜平民,村と村を回って売る,村と村が繋がる,,
町,両替,富裕,貨幣を換える。質を取る,貨幣が複数種類ある＝交易している,,元手が要る
町,物を運ぶ職,貧民〜平民,荷を運ぶ,運ぶ量が人力を超える,,
町,人を運ぶ職,平民,人を運ぶ。宿を兼ねる,旅人が通る,,
町,門番,平民,門を守る,囲いができる,,
町,衛兵,平民,市中を見回る,町が大きくなる,,
町,牢番,貧民〜平民,捕らえた者を見張る,牢ができる,外れ者に近い,
町,徴税吏,平民〜富裕,税を取り立てる,税の制度がある,憎まれる,
町,教師,富裕,教える,学校ができる,,自分が教育を受けている必要がある
町,汚物処理,貧民,汚物を運び出す,人が密に住む,外れ者。衛生が疫病を決める,外れ者の職
町,料理人,平民〜富裕,食べ物を作る,人に出す場ができる,,
町,肉屋,貧民〜平民,獣を屠り解体する,肉を売る量になる,,
町,醸造,平民〜富裕,発酵させる。パンと酒,余剰の穀物がある,,
町,給仕,貧民〜平民,人に出す・もてなす,人に出す場ができる,,
都市,書記,富裕〜貴族,書き記す。証文を作る,文字が要る量の取引がある,,字が読めること
都市,写本,平民〜富裕,書き写す,写すべき本がある,,
都市,学者,富裕〜貴族,究める,食わせる余裕がある,,食わせる余裕が要る
都市,法律家,富裕〜貴族,法を扱う,成文の法がある,,教育が要る
都市,医者,富裕〜貴族,診る・薬を出す,大学がある,,大学が要る
