職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
家長,家,段取り／人読み／誇り／長期の記憶,顔と名前の覚え／場を読む／弁舌／数の感覚／慎重／情／貪欲／忍耐／序列意識／恩義／伝承意欲／想起の速さ,他責／気分の振れ幅／色欲／好奇心,段取り,段取り／人読み／顔と名前の覚え／弁舌／貪欲／図太さ／誇り,継ぐ役なので選ばれない。だから閾値は段取り1つに留めた。誰を何に出すかで次の代の配役が決まるので情と貪欲がそのまま家の血の行方になる
家事,家,段取り／手先の器用さ／勤勉／持久力,味覚／嗅覚／触覚／最大筋力／情／忍耐／潔癖／短期の記憶／暑さへの強さ／色の見分け／成熟の早さ／口の軽さ,誇り／名誉欲／好奇心／気分の振れ幅,なし,手先の器用さ／段取り／味覚／体で覚える力／忍耐／勤勉,村では女と子がまとめて負う。就くかどうかを選べないので閾値を置かない。井戸端が村の情報路なので口の軽さがここでだけ利点に振れる。潔癖が疫病の発生率をそのまま決める
乳母,家,乳の出／病への強さ／情／飢えへの強さ,繁殖力／お産の軽さ／潔癖／忍耐／容姿／従順／恩義／体重,必要睡眠／口の軽さ／嫉妬／野心／気分の振れ幅,乳の出,忍耐／人読み／段取り／恩義／図太さ,女のみ。乳兄弟という縁が生まれる分だけ主家の内側に触れるので口の軽さが致命になる。夜通し起こされるので必要睡眠が高い者は務まらない
農夫,村,持久力／体幹／勤勉／最大筋力,暑さへの強さ／寒さへの強さ／触覚／色の見分け／観察／長期の記憶／段取り／忍耐／柔軟性／リーチ／飢えへの強さ／執念,好奇心／野心／老いの速さ／気分の振れ幅,なし,持久力／体幹／体で覚える力／勤勉／忍耐／観察／段取り,村の全員が兼ねる土台なので閾値を置かない。最大筋力は使うが伸びない（すでに振れる体を持つ者が重い所へ回されるだけ）。ステが足りない：空を読んで蒔き時と刈り時を決めるものが無い。観察と長期の記憶と嗅覚で代用している
牧夫,村,観察／持久力／度胸／体で覚える力,視力／聴力／走力／道と方角の覚え／寒さへの強さ／数の感覚／触覚／手の大きさ／忍耐／夜目／残酷さ／郷土愛,社交／情／気分の振れ幅／好奇心,なし,観察／道と方角の覚え／持久力／体で覚える力／忍耐／図太さ,一日を一人で過ごすので社交が積まれない。屠るのも牧夫なので情が高いと家畜を減らせない。ステが足りない：獣の気を読む項目が無い。人読みは人にしか効かないので手の大きさと触覚で代用している
猟師,村,観察／視力／握力／集中／道と方角の覚え,嗅覚／聴力／息の長さ／持久力／忍耐／夜目／寒さへの強さ／リーチ／敏捷／瞬発力／体で覚える力／残酷さ,必要睡眠／潔癖／社交／気分の振れ幅,視力,観察／道と方角の覚え／集中／忍耐／体で覚える力／慎重／図太さ,視力と夜目と嗅覚は器官なので使うだけで伸びない。握力も弓を引くのに使うが伸びない（村の猟師は引く回数そのものが少ない）。獲物を捌くので潔癖が高い者は続かない
漁師,村,三半規管／握力／平衡感覚／観察,息の長さ／体幹／肩幅／寒さへの強さ／視力／道と方角の覚え／度胸／慎重／長期の記憶／触覚,必要睡眠／体重／潔癖／気分の振れ幅,三半規管,握力／平衡感覚／観察／慎重／道と方角の覚え／体で覚える力,三半規管が低い者は何年舟に乗っても漁師にならない。網と綱を毎日手繰るので握力がここでだけ伸びる（同じ握力を使う猟師では伸びない）。小舟は体重で沈むので重い者が乗れない
木こり,村,最大筋力／体幹／持久力／空間把握,握力／肩幅／慎重／観察／骨太さ／体で覚える力／寒さへの強さ／聴力／道と方角の覚え／疲労の抜けやすさ,痛覚の鈍さ／集中／気分の振れ幅／好奇心,最大筋力,体幹／持久力／空間把握／体で覚える力／慎重／握力,最大筋力は使うが伸びない（斧を振れる体を持つ者が就く）。倒れる向きを外せば死ぬので集中が邪魔に回る珍しい職。痛覚の鈍さは斧が入った足に気づかないので致命
鍛冶,村,最大筋力／手先の器用さ／暑さへの強さ／体で覚える力／握力,視力／色の見分け／触覚／肩幅／集中／忍耐／息の長さ／空間把握／聴力／勤勉／見て盗む力／伝承意欲,潔癖／痛覚の鈍さ／気分の振れ幅／好奇心,手先の器用さ／暑さへの強さ,手先の器用さ／体で覚える力／握力／集中／忍耐／空間把握,村の鍛冶は蹄鉄と鍬の直しで人の命は懸からない（町の武具職人はここに視力と観察と集中の重みが乗る）。ステが足りない：火の温度を見極めるものが無い。色の見分けと視力で代用しているが町の焼物職人まで同じ代用になる
大工,村,空間把握／手先の器用さ／最大筋力／平衡感覚,体幹／触覚／視力／数の感覚／体で覚える力／段取り／握力／慎重／集中／聴力／見て盗む力,体重／創意／気分の振れ幅／好奇心,空間把握,空間把握／手先の器用さ／体で覚える力／段取り／平衡感覚／慎重／数の感覚,鍛冶とは使うものが違う（火と金属ではなく木と寸法と高さ）。村では図に落とさないので頭の中の形を人に渡せず本人が死ぬと普請が止まる。創意は村では前例を壊す者として憎まれるので邪魔に置いた
