大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
からだ,力,最大筋力,1番,A,敏捷,重いものを動かせる。一度に加える力が大きい。掴んだものを引き寄せ押し倒せる。ひとりで足りるので人手を借りずに済む。当たったときに与える壊れが大きい。,体を保つのに要る食べ物が増える。力を込めた側の腱と腰が先に傷み古傷が残る。加減が利かないので扱うものを壊す。力で解ける事ばかり任され他の使い道が試されない。,骨太さも高いと関節が力に耐えて年を取っても落ちない。肩幅と手の大きさも高いと出した力が土台に乗る。体幹も高いと足の位置を動かさずに押し切れる。,忍耐が低いと諍いで相手を壊してしまい取り返しがつかない。理解の速さが低いと力だけの者として扱われ他の役目が回らない。体重も高いと養う量が二人分になり集まりの足を引っ張る。,C,なし,大きい,中間遺伝,中,なし,敏捷と持久力にマイナス（筋が重い）。打たれ強さにプラス。飢えへの強さの実効を下げる（保つのに要る量が多い）。,スキル：耕作・伐採・鍛冶・戦の技の閾値を通す。ポジション：兵と普請の役に選ばれやすい。財：日雇いの手間賃が高く付く。しがらみ：力仕事の貸し借りで村内に恩の線が張る。
からだ,力,瞬発力,1番,A,持久力,出だしが速い。ためを作らずに最大の力が出る。一息で届く距離と高さが伸びる。先に動いたほうが取る勝負を取れる。,一息で使い切る体なので同じ動きを繰り返すと総量で劣る。力の立ち上がりが急なので腱と筋を切りやすく大怪我が古傷になる。速く出せるぶん出さずに済ませることを覚えない。,反射も高いと来たものに先に返せる。柔軟性も高いと急に力を出しても筋を切らない。リーチも高いと先に届く距離がさらに伸びる。,持久力が低いと三度目で動けなくなり最後まで残れない。慎重が低いと出足だけで前へ出て一人になる。,B,中,小さい,中間遺伝,中,なし,持久力と競合し高いほど持久力の伸びしろが狭い。短い距離の走力にプラス。反射の一手目に乗る。,スキル：槍・組み打ち・狩りの追い込み。ポジション：先陣と使番に選ばれる。
からだ,力,握力,4番,A,手先の器用さ,掴んだものを離さない。掴んだまま力を加え続けられる。滑るものと暴れるものを制せる。相手が持っているものをもぎ取れる。,手のひらが硬く厚くなり細かい手触りが鈍る。握り締める癖で指の関節が早く固まり老いてから指が伸びない。力が抜けないので握るだけで壊れるものを壊す。,手の大きさも高いと掴める相手が広がる。息の長さも高いと力を込めたまま息を殺していられる。,手先の器用さが低いと握り潰すばかりで細かい扱いができない。痛覚の鈍さも高いと手のひらが裂けても握り続けて傷が膿む。,E,なし,大きい,中間遺伝,やや低い,なし,手先の器用さの細かい作業にマイナス（力が抜けない）。最大筋力の実際の発揮に効く。リーチが長いほど発揮が下がる。,スキル：弓・綱・鍛冶・船。財：漁と荷役の稼ぎ。
からだ,力,体幹,1番,A,なし,重さを受けても足の位置が動かない。揺れる足場と動くものの上で姿勢が崩れない。腰から力を伝えるので同じ動きを長く繰り返しても体が痛まない。,芯が強いので無理が利き限界を越えて動き続け壊れるまで自分で気づかない。倒れないので周りも限界を見誤り止めどきが誰にも分からない。,平衡感覚も高いと不安定な足場で両手が空く。最大筋力も高いと出した力がそのまま相手に伝わる。,柔軟性が低いと硬いまま踏ん張って腰の骨をやられ二度と重いものを持てない。忍耐も高いと限界まで続けて壊れる。,D,なし,大きい,中間遺伝,やや低い,なし,平衡感覚と走力にプラス。無駄な力を使わないので疲労の抜けやすさに間接的にプラス。最大筋力の発揮を支える。,スキル：荷役・騎乗・大工。ポジション：普請の役。
からだ,力,打たれ強さ,3番,A,容姿,殴られても倒れない。落ちても骨が折れない。深い傷を受けても即死しない。受けたその場で動きが止まらない。,倒れないので殴られ続ける。傷が浅く見えるので手当てが後回しになり内側で膿む。争いで負けないので争いの側に立たされ続け恨みが集まる。壊れかけていることが外から見えない。,骨太さも高いと打った側のほうが先に壊れる。傷の治りも高いと毎度の打ち身が翌日に残らない。,痛覚の鈍さも高いと折れたまま動き続けて内側をやられる。度胸も高いと退かないので囲まれて死ぬ。,B,低い,中,中間遺伝,中,なし,敏捷にマイナス（重く厚い体）。傷の治りとは別で受ける傷の深さそのものを減らす。,ポジション：前列の兵と門番。しがらみ：喧嘩の仲裁を頼まれ貸しが増える。
からだ,続ける力,持久力,1番,B,瞬発力,同じ強さの動きを長く続けられる。一日の総量が多い。追い続ければ先に相手が止まる。長く歩き続けても落伍しない。,止まらずに動けるので他人より多く割り当てられる。体が痩せて力の伸びしろを食う。脂が乗らないので食べ物が絶えたとき体に蓄えが無い。,疲労の抜けやすさも高いと連日続いても翌朝に戻る。勤勉も高いと一年の総量で誰にも並ばれない。,体重が低いと燃やすものが無く長い移動で先に落ちる。従順が高いと断れずに続けて若いうちに体を壊す。,C,なし,大きい,中間遺伝,中,なし,瞬発力と最大筋力の伸びしろを狭める。脂を溜めないので飢えへの強さの実効を下げる。走力の届く距離を伸ばす。,スキル：耕作・行軍・追い狩り。財：日雇いで年に一番稼ぐ。ポジション：伝令と輜重。
からだ,続ける力,疲労の抜けやすさ,1番,B,なし,一晩で前日の消耗が残らない。連日続けても三日目に落ちない。体を壊したあとの戻りが早い。,疲れが残らないので体が出す警告を受け取れない。休む口実が無く周りも休ませない。無理を重ねた分が一度にまとめて来る。,必要睡眠が低いと一日に使える時間が他人より長い。持久力も高いと忙しさが続くひと月を通して速さが落ちない。,勤勉も高いと休みを取らず四十前に体が終わる。痛覚の鈍さも高いと壊れかけていることに誰も気づけない。,B,中,小さい,中間遺伝,やや低い,なし,老いの速さにマイナス。傷の治りと並んで働くが別物（あちらは傷そのもの）。持久力の実効を日をまたいで保つ。,財：働ける日数が多く年の稼ぎが増える。ポジション：常備の兵に向く。
からだ,続ける力,必要睡眠,2番,A,なし,深く長く眠るので前日の消耗と傷が確実に抜ける。眠り足りた体は手元を誤らない。眠りの浅い者より病を貰いにくい。よく眠る者ほど老いが遅い。,一日に使える時間が短い。夜のあいだ起きている務めが果たせない。日が昇る前から動くことができない。眠りが深いので寝込みを襲われたときに気づかない。,傷の治りも高いと大怪我からの戻りが極端に早い。忍耐も高いと眠りを削らずに済むよう先に段取りを組んで体を保つ。,勤勉も高いと眠りを削って体と成果の両方を失う。度胸が高いと夜の務めを買って出て眠り足りないまま朝の判断を誤る。,D,なし,ほぼゼロ,中間遺伝,中,なし,眠り不足の日は反射・集中・想起の速さが大きく落ちる（低い者は落ちない）。老いの速さにマイナス。,ポジション：夜番と見張りの役から外れる（低い者が夜の仕事を独占する）。しがらみ：夜に人と会えないので密談の輪に入れない。
からだ,続ける力,息の長さ,1番,B,なし,息を止めていられる時間が長い。息が上がっても声と動きが乱れない。薄い息と濁った空気の中でも動きが止まらない。力を込めたまま息を殺して狙いを静められる。,息を止めて無理をするので目の前が暗くなって倒れる。息が続く者は続かない者より危ない側へ回されやすく肺と耳を痛める。限界が息ではなく体のほうに来るので気づくのが遅れる。,平衡感覚も高いと息を止めているあいだも上下を見失わない。声も高いと大きい声が長く遠くまで続く。,度胸が高いと息の続く限りまで潜り続けて戻れない。三半規管が低いと息はあるのに方向を失う。,D,低い,中,中間遺伝,中,なし,走力と持久力の実際の発揮に効く。息を止めているあいだの手先の器用さを保つ。声の続く長さを決める。,スキル：潜り漁・坑道・弓。ポジション：伝令（声が届く）。財：貝と真珠。
からだ,速さ,走力,1番,B,体重,同じ距離を短い時間で移動できる。追えば追いつき逃げれば逃げ切れる。報せが人より早く着く。危ないところから離れられる。,逃げ足が速いので崩れたとき最初に離れてしまい臆病者と見られる。速いというだけで遠くへやられ手元の事から離れる日が増える。,持久力も高いと一日で往復できる範囲が倍になる。夜目も高いと暗いあいだも速さが落ちない。,度胸が低いと相手を見た瞬間に走り出して周りを崩す。空間把握が低いと速いだけで道を誤り遠回りする。,C,低い,中,中間遺伝,やや低い,なし,逃走時の生存に直結する。体重と骨太さが高いと打ち消される。持久力と息の長さで届く距離が決まる。,情報：伝令として村々の報せを最初に知る。ポジション：伝令と斥候。しがらみ：報せを運ぶので各村に顔が利く。
