職業,規模,いつ現れるか（jobs.csv の原文）,前提1,前提2,前提3
家事,家,最初から,,,
乳母,家,乳の出る女が余る,段:2,,
農夫,村,最初から,役割:平野,,
牧夫,村,家畜がいる,役割:牧草地,札:厩つき農家,
猟師,村,森がある,役割:森林,,
漁師,村,水がある,役割:海湖,札:漁船,
木こり,村,森がある,役割:森林,,
鍛冶,村,鉄が手に入る,札:炉,職:製錬≥1,
大工,村,最初から,役割:森林,,
織り,村,羊か麻がある,札:機小屋,役割:繊維畑,
皮なめし,村,家畜か獣がいる,札:なめし桶,職:牧夫≥1,
粉挽き,村,水車が要る。余剰の穀物が要る,札:水車,役割:川,職:農夫≥3
養蜂,村,花がある,札:蜂箱,役割:平野,
薬師,村,最初から,,,
自警団,村,村が襲われうる,札:柵,,
武具職人,町,戦が続く,札:炉,職:鍛冶≥1,段:4
石工,町,石造りの物を建てる理由がある,役割:鉱脈,職:鉱夫≥1,段:4
細工師,町,富が集まる,札:市場,職:製錬≥1,段:4
焼物,町,窯がある,札:窯,,
仕立て,町,布が余る,職:織り≥2,札:市場,
船大工,町,水運がある,札:船台,役割:海湖,
鉱夫,町,鉱脈がある,役割:鉱脈,札:坑道,
製錬,町,鉱石が採れる,職:鉱夫≥1,札:高炉,
塩職人,町,海か岩塩がある,札:製塩の窯,,
商人,町,市が立つ,札:市場,札:商家,
行商,町,村と村が繋がる,札:市場,職:物を運ぶ職≥1,
両替,町,貨幣が複数種類ある＝交易している,札:両替台,職:商人≥1,
物を運ぶ職,町,運ぶ量が人力を超える,札:厩と荷車溜まり,,
人を運ぶ職,町,旅人が通る,札:宿,,
門番,町,囲いができる,札:柵,札:番小屋,
衛兵,町,町が大きくなる,段:4,札:番小屋,
牢番,町,牢ができる,札:牢,,
徴税吏,町,税の制度がある,札:市場,段:4,
教師,町,学校ができる,札:文法学校,,
汚物処理,町,人が密に住む,段:4,札:下水,
料理人,町,人に出す場ができる,札:宿,段:4,
肉屋,町,肉を売る量になる,職:牧夫≥2,札:市場,
醸造,町,余剰の穀物がある,札:醸造の桶と竈,職:農夫≥5,
給仕,町,人に出す場ができる,札:宿,段:4,
書記,都市,文字が要る量の取引がある,札:写字室,職:商人≥2,
写本,都市,写すべき本がある,札:写字室,札:修道院,
学者,都市,食わせる余裕がある,札:大学,,
法律家,都市,成文の法がある,札:法廷,職:書記≥1,
医者,都市,大学がある,札:大学,札:医者の家,
外科医,都市,ギルドがある,札:ギルドホール,札:施療院,
技師,都市,石造建築と攻城がある,職:石工≥1,段:5,
吟遊詩人,都市,街道が繋がる,札:道,札:宿,
芸人,都市,人が集まる場がある,札:広場,段:5,
音楽家,都市,楽器と場がある,札:劇場,,
俳優,都市,劇の場がある,札:劇場,,
演出家,都市,劇が制度になる,札:劇場,職:俳優≥2,
賭博,都市,貨幣が回る,札:賭場,職:両替≥1,
剣闘士,都市,見物人が集まる,札:闘技場,,
錬金術師,都市,富と余暇がある,札:錬金の工房,段:6,
占星術師,都市,暦が要る,札:天文台,,
著述家,都市,読む者がいる,札:写字室,職:教師≥1,
巡礼案内,都市,聖地と巡礼路がある,札:石造教会,札:道,
風呂屋,都市,水と燃料が回る,札:風呂,,
死体処理,都市,人が密に死ぬ,札:埋葬地,段:5,
船乗り,都市,船がある,札:漁船,役割:海湖,
獣使い,都市,馬がいる,札:鷹小屋,札:厩と荷車溜まり,
使用人,都市,富む家がある,札:貴族の屋敷,,
歩兵,軍,戦がある,札:兵舎,,
射手,軍,弓がある,札:兵舎,職:大工≥1,
騎兵,軍,馬と鞍がある,札:兵舎,職:獣使い≥1,
斥候,軍,戦が続く,札:兵舎,,
工兵,軍,攻城がある,札:兵舎,職:技師≥1,
伝令,軍,部隊が分かれる,札:兵舎,職:獣使い≥1,
兵站,軍,軍が村を離れる,札:兵舎,職:物を運ぶ職≥1,
傭兵,軍,貨幣で軍を雇える,札:兵舎,職:両替≥1,
修道士,宗教,修道院が建つ,札:修道院,,
盗賊,外れ者,奪う価値のあるものが通る,札:市場,段:4,
娼婦,外れ者,人と金が集まる,札:娼館,,
死刑執行人,外れ者,刑罰の制度がある,札:処刑場,札:牢,
