大項目,中項目,名前,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝率の基準値,他のステへの影響,他の枠への影響
あたま,覚える,短期の記憶,一度聞いた口伝の指示を取り違えずに最後まで実行できる。市で相手の言い値と自分の言い値を同時に頭に置いて値切れる。戦場で伝令が持ってきた隊列の変更を書き付けずに部隊へ渡せる,直前のことだけが鮮明なので目先の出来事に判断が引っ張られる。今聞いた噂を古い事実より重く扱い誤った報告をそのまま上へ流す。書き留める習慣がつかないので本人が死ぬと持っていた取り決めが丸ごと消える,＋聴力 → 読み書きの無い村で口頭の取り決めの生き証人になる（村が情報の保存場所として本人を手放さなくなる）。＋数の感覚 → 帳面なしで貸し借りを突き合わせられる,＋信じやすさ → 直前に聞いた嘘を正確なまま運ぶので嘘の伝染が速くなる。＋気分の振れ幅 → 動揺した場面の記憶だけが濃く残り報告が偏る,F,高い,小さい,中,想起の速さ・理解の速さ・段取り・言葉の覚えの土台。ここが低いと段取りと機転が働かない,情報（口伝の受け取りと保持）／スキル（口頭で教わる工程の習得）／ポジションランク（伝令・使者に選ばれやすい）
あたま,覚える,長期の記憶,三十年前の境界の取り決めや祖父の代の貸し借りを言える。凶作の年の作の付き方を覚えていて次の飢饉の兆しを言い当てる。誰が誰の子かを何十家ぶん保持し近すぎる縁組を止められる,受けた恥や損が何十年も薄れないまま残る。和解が成立しない。古いやり方が正確に残るぶん新しいやり方を受け付けない。忘れられない者は村の恨みの帳面そのものになる,＋執念 → 証文の無い一族の権利を主張し続け実際に取り戻すことがある。＋声 → 語り手として村の来歴を継ぐ（情報が世代を越えて残る）,＋嫉妬 → 過去のひとつの侮辱を一生持ち相手の家系ごと敵に回す。＋創意 → 前例を全部覚えているのに全部壊すので年長者から最も憎まれる,D,高い,中,中,想起の速さと組んで初めて使える。ここが低いと言葉の覚えと段取りが伸びない,情報（村の来歴・境界・血縁の保持者）／しがらみ（恨みと借りが時間で消えない＝線が減らない）／身分ランク（家の由緒を語れる者は格の証人になる）
あたま,覚える,想起の速さ,覚えていることを必要な場でその場に出せる。裁きの席で相手の言い分と食い違う昔の取り決めを即座に指摘できる。戦の最中に以前通った道の分かれを迷わず選べる,出るのが速いぶん確かめずに口に出す。思い出し違いも同じ速さで断言するので周りが検証しなくなり誤りが定説として固まる,＋機転 → 不意の詰問にその場で切り返せる（交渉と裁きで強い）。＋弁舌 → 例と前例を並べて話せるので同じ中身でも通る率が変わる,＋誇り → 思い出し違いを認めないので誤った前例で村の取り決めが固まる。＋嘘のうまさ → 過去をその場で作り替えられる。最も見破りにくい偽証になる,E,高い,小さい,やや高い,短期の記憶と長期の記憶を実際に使える形に変える。機転・弁舌・嘘のうまさの前提,情報（持っている知識が実際に効くかを決める）／ポジションランク（裁きの席・交渉役に呼ばれる）
あたま,覚える,体で覚える力,繰り返した動きが考えずに出るようになる。鍬の入れ方・鎚の角度・剣の受けが疲れていても崩れない。数年使わなくても錆びにくい。言葉にできない手順を体に写す力であって覚える力とは別物,一度体に入った間違った型が抜けない。悪い師に付いた者は生涯そのままになる。言葉で説明できないので人に教えられず名人が死ぬと工程ごと失われる,＋手先の器用さ → 職人の芯。同じ工程を一生ぶん安定して出せる。＋反射 → 稽古した受けが考える前に出る（戦いの生き残り）,＋論理 → 体で分かっていることを理屈でやり直そうとしてかえって型が崩れる。＋序列意識 → 見て覚えろ以外の教え方をせず弟子が育たない（スキルが村から消える）,C,中,中,やや高い,手先の器用さ・反射・平衡感覚と組む。短期の記憶／長期の記憶とは別系統で、どちらが高いかが職人と学者を分ける,スキル（体を使う技の習得と定着。錆びにくさ）／ポジションランク（親方・棟梁）／財（技が売れるので収入が安定する）
あたま,考える,理解の速さ,説明を一度で飲み込む。新しい工程・新しい税の取り決め・敵の新しい戦い方を、他の者が三度聞く間に理解する。理解が速いことと知っていることは別で、知識そのものは情報の枠が持つ,命令の穴に気づいてしまう。上の指示が筋の通らないものだと即座に分かるので従わない・言い返す・勝手に直す。局長からは扱いにくい者として役から外される。周りが遅く見えるため説明を省き、結果として誰も動かせない,＋短期の記憶 → 一度の説明で最後まで持ち帰れる。＋段取り → 新しい仕事に就いた最初の年から人並みに働ける（転職の損が小さくなる）,＋誇り → 理解できない上役を露骨に軽んじポジションから落とされる。＋従順が低い → 命令の不備を指摘し続け、無能ではなく危険と見なされる,C,非常に高い,ほぼゼロ,やや高い,論理・段取り・言葉の覚え・見て盗む力の伸びを支える。学習速度とは別（速さは分かるまで、伸びは積まれる量）。これ自体は訓練でほぼ動かない純粋な器,スキル（習得の初動）／ポジションランク（登用されやすいが従順が低いと逆に外される）／しがらみ（上役との軋轢）
あたま,考える,論理,話の筋の通っていないところを言い当てる。報告の数字が前の報告と合わないことに気づく。裁きの席で証言のどこが矛盾しているかを示せる。去年こうだったから今年もこうなる、を条件の違いまで含めて詰められる,筋の通らないものを我慢できない。慣習・儀礼・信心の多くは筋が通っていないので、それを口に出して敵を作る。命令の矛盾を指摘するので上から見て扱いにくい。教えを疑う者は中世では危険な立場に置かれる,＋数の感覚 → 帳簿の不正と税の取り決めの穴を両方見つける（財の管理役として代えが利かない）。＋弁舌 → 筋を人に渡せるので初めて力になる,＋信心が低い → 教えに公然と逆らい身分ランクを失う。＋場を読むが低い → 正しいことを最悪の場で言い、味方まで敵に回す,B,中,大きい,中,数の感覚・段取り・嘘を見抜く・創意の土台。体で覚える力とは噛み合わない（理屈で型を崩す）。訓練で大きく伸びるが、中世で訓練の場を持つのは聖職者と書記だけ,情報（矛盾から隠された事実を導ける）／ポジションランク（財務・裁きの役。ただし従順が低いと登用されない）／しがらみ（慣習を守る者との対立）
あたま,考える,空間把握,材木の組み方・石の積み方・屋根の勾配を、作る前に頭の中で立てられる。堀と柵の配置を地形に合わせて決められる。戦場で見えていない側の隊の位置を推せる,頭の中で出来上がっているので図にも言葉にも落とさない。本人以外に工程が渡らず、途中で死ぬと普請が止まる。地形の有利が見えるぶん、不利な地に置かれた味方を切り捨てる判断を平気でする,＋手先の器用さ → 大工・石工・鍛冶の上位。＋段取り → 普請の全体を回せる（棟梁になれる）,＋弁舌が低い → 頭にあるものを誰にも渡せず一生使い走りの職人で終わる。＋誇り → 自分の図に固執し地の条件を無視した普請で人を死なせる,C,中,中,やや高い,手先の器用さ・視力と組む。道と方角の覚えの土台。創意が形になるかどうかを決める,スキル（普請・鍛冶・造船）／ポジションランク（棟梁・築城の役）／財（普請を請け負えれば大きい）
あたま,考える,数の感覚,帳面も算盤も無しに量と比と割合を掴む。中世でこれを持つ者は本当に少ない。収穫の何割を税に取ればいくら残るかを即座に出せる。兵の数と日数から要る糧秣を出せる。利息と目減りを見抜くので商人に負けない,数で言うので信用されない。見て分かることを重んじる村では、計算で反論する者は理屈屋として嫌われる。飢饉のとき「この蓄えでは何人までしか越せない」と正確に出せてしまい、誰を切るかを決める役を押し付けられる。利息を扱えること自体が罪と見なされうる,＋論理 → 帳簿の不正と取り決めの穴を両方見つける。＋長期の記憶 → 何年ぶんの収穫を突き合わせ土地の当たり外れを言い当てる,＋貪欲 → 高利貸しに向かい村ぜんたいから憎まれる。＋情が低い → 人を頭数として数え、切り捨てを平然と提案する,S,高い,大きい,やや低い,論理と組んで初めて力になる。単独では勘の鋭い者で終わる。段取りの精度を決める。入口は極端に狭いが、入れた者は帳場に置けば一生伸び続ける（稀だが努力で伸びる型）,財（交易・徴税・利息。あたまで最も財に直結する）／ポジションランク（徴税役・蔵の管理）／情報（数から隠された事実を出せる）／しがらみ（貸し借りの線が増える）
あたま,考える,創意,誰も見たことのない手を作る。既にある道具を別の用途に組み替える。前例の無い攻め方・水の引き方・道具の改良を出す。中世で本当に稀で、ほとんどの改良は数百年に一度しか起きない,前例を壊す。中世の村では前例こそが正しさなので、新しい手を出す者は序列を乱す者として憎まれる。とくに序列意識の高い年長者から。試した手の大半は失敗し、その失敗は「言ったとおりだ」として村の記憶に残る。度を越した発想は魔術・異端と見なされうる,＋空間把握 → 道具と普請の改良が実際に形になる。＋弁舌 → 新しい手を人に呑ませられる（創意が単独では世に出ないのを埋める）,＋従順が低い → 命じられた通りにやらないのでまず信用を失う。＋誇り → 前例を壊した上に頭を下げないので村ぐるみで潰される,SS,非常に高い,小さい,低い,論理・空間把握・見て盗む力と組む。弁舌が無いと世に出ない。長期の記憶が高いと軋轢が最大になる。本人は訓練でほとんど伸びず、伸びるのは材料になる周辺のステのほう,スキル（新しい技が生まれる唯一の源）／しがらみ（前例を守る者からの敵意）／身分ランク（当たれば跳ねるが外すと落ちる）／ポジションランク（扱いにくいので登用が遅い）
あたま,人を読む,人読み,相手が何を欲しがっていて何を恐れているかが読める。交渉で相手の譲れる線を見抜く。部下が不満を溜めているのを口に出される前に気づく。誰と誰が本当は組んでいるかが分かる,誰が本当は自分を嫌っているかまで分かってしまう。表向き親しくしている相手の敵意が見えるので人を信じられなくなり孤立する。分かっていて何もできない場面が続くと心が削れ、状態異常を負いやすくなる,＋場を読む → 誰に何をどの場で言うかまで揃う（政治の中核）。＋弁舌 → 相手ごとに刺さる言い方を変えられる,＋気分の振れ幅 → 見えすぎて疑心に沈み味方まで敵と誤認する。＋嘘のうまさ → 弱みを正確に突けるので最も人に恐れられる型になる,D,低い,大きい,中,嘘を見抜く・場を読むの土台。顔と名前の覚えが低いと誰の話か紐づかず活かせない。人を多く見た年数がそのまま積まれる,しがらみ（誰と組むかの精度が上がる。ただし線の本数は増えない）／ポジションランク（人を配する役に向く）／情報（口に出されていないことを知る）
