大項目,中項目,小項目,名前,いい面,悪い面,先天後天,遺伝するか,時間で変わるか,実装の根拠
遺伝子,1番染色体,体系（中間遺伝）,代謝,「暴食」が強まり飢餓耐性（0.25＋0.45×暴食）が上がる。飢饉のときの餓死判定に直接効く。,1tickに食べる量が増える（FOOD_PER_HEAD＋0.30×代謝＋0.25×暴食）。国全体の消費を押し上げる。,先天,する,一生変化なし,derive.js:85 / derive.js:98 / derive.js:224 / world.js:244
遺伝子,1番染色体,体系（中間遺伝）,生育速度,いまは何にも効かない（sim が読んでいない）。combatStats の speed に入るが、battle.js が speed を1度も読まない。ライバル国 fecund の交配の好みにだけ入る。,なし,先天,する,一生変化なし,derive.js:173（speed を計算）/ battle.js に stats.speed の参照なし / rival.js:71
遺伝子,1番染色体,体系（中間遺伝）,頑健,戦闘の守り def（0.30＋0.55×頑健）と体力 hp（18＋55×頑健）が上がる。狩りの事故死率が下がる。国民力に0.10で入る。捕虜の「頑健」軸で選ばれやすい。,なし,先天,する,一生変化なし,derive.js:155 / derive.js:169 / derive.js:170 / world.js:259 / battle.js:515
遺伝子,1番染色体,体系（中間遺伝）,寿命,老衰の基準寿命が4世代→13世代まで延びる（BASE_LIFESPAN＋LIFESPAN_SPAN×寿命）。年齢係数のピーク（3＋4×寿命）も後ろにずれるので、全能力の衰えが遅くなる。,なし,先天,する,一生変化なし,world.js:419 / derive.js:50 / constants.js:15-16 / battle.js:515
遺伝子,2番染色体,体系（中間遺伝）,攻撃素質,戦闘の攻撃力 atk（0.15＋実効値）が上がる。狩りの産出が上がる（0.70＋0.55×実効値）。国民力に0.26＝全座位で最大の重みで入る。狩り・戦の役に配されやすくなる。,なし,先天,する,一生変化なし（実効値は発現・練度・年齢・疲労で変わる）,derive.js:149 / derive.js:168 / derive.js:211 / derive.js:238 / world.js:598
遺伝子,2番染色体,心系（優劣）,胆力,戦場の踏み止まる力 nerve の4割を作る（0.6×恐怖耐性＋0.4×実効値）。逃走率が下がる。国民力に0.12。狩り・戦の役を望むようになる。,なし,先天,する,一生変化なし（実効値は発現・練度・年齢・疲労で変わる）,derive.js:150 / derive.js:175 / derive.js:238 / world.js:598
遺伝子,2番染色体,体系（中間遺伝）,感応,いまは何にも効かない（sim が読んでいない）。ライバル国 melting の交配の好みと、UIの目の大きさの描画にだけ使われる。,なし,先天,する,一生変化なし,sim/derive.js・world.js・battle.js に参照なし / rival.js:89 / ui/color.js:149
遺伝子,2番染色体,心系（優劣）,好奇心,局長になると「抜擢」を具申しやすくなる（＋0.4）。捕虜を「知」の軸で引くとき選ばれやすい（0.4の重み）。,なし,先天,する,一生変化なし,petitions.js:54 / battle.js:511（局長はP2から。村のあいだは何も起きない）
遺伝子,2番染色体,体系（中間遺伝）,知性,国民力に0.06で入る。捕虜を「知」の軸で引くとき本体になる（重み1.0）。,感受性0.58超・知性0.55超・体制怨恨0.45超が重なると扇動者になり、一揆の発生圧を1人につき＋35%する。国境の誅殺が3件を超えたとき、この個体を通じて隠した事実が露呈する。,先天,する,一生変化なし,derive.js:156 / battle.js:511 / world.js:923 / world.js:931 / battle.js:644
遺伝子,3番染色体,体系（中間遺伝）,繁殖性,子ができる確率が上がる（0.35＋0.85×繁殖性）。「色欲」が強まり繁殖補正が最大1.35倍。男は交配相手として選ばれやすくなる。捕虜の「繁殖」軸で選ばれやすい。,成人して未交配のあいだ「色欲」の未充足度が0.7に張り付き、不満（unmet）が増える。,先天,する,一生変化なし,world.js:637 / derive.js:84 / derive.js:97 / derive.js:121 / world.js:677 / battle.js:513
遺伝子,3番染色体,心系（優劣）,共同作業適性,農作業の産出が最大1.15倍（coop＝0.85＋0.30×実効値）。国民力に0.08。畑の役を望むようになる。,なし,先天,する,一生変化なし（実効値は発現・練度・年齢・疲労で変わる）,derive.js:154 / derive.js:201 / derive.js:241
