key,名前,段,遺伝方式,重み,効果,効きはじめ,実装の場所
long_life,長寿,S,劣性,20,最大寿命が70で確定する,いつでも,people.js の寿命
prosper,繁栄,S,劣性,20,交叉が起きない。自分のステの組み合わせがそのまま子に渡る,いつでも,genetics.js の gamete
brave,勇敢,S,劣性,20,恐怖しない。戦場で退かない,戦が実装されてから,battle
heart_eye,心眼,SS,劣性,10,こころ系ステの成長率が1.2倍,こころの成長が実装されてから,grow.js
sturdy,剛健,SS,劣性,10,からだ系ステの成長率が1.2倍,いつでも,grow.js
lucid,明晰,SS,劣性,10,あたま系ステの成長率が1.2倍,いつでも,grow.js
tactician,軍師,SSS,劣性,6,戦場で自兵のからだステ1.2倍＋その戦でからだ成長率1.2倍,戦が実装されてから,battle
harvest,豊穣,SSS,劣性,6,同じ村の農の生産系ステ成長率1.1倍＋収穫量1.05倍,いつでも,village.js
gifted,天賦,G,劣性,2,すべてのステの成長率が1.3倍,いつでも,grow.js
miracle,奇跡,G,劣性,2,老衰以外では死なない,いつでも,people.js の死亡
