大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
からだ,力,最大筋力,1番,A,敏捷,鍬で一日に起こせる畑の面積が増える。斧の一撃で丸太を割り切れる。組み打ちで相手を押し倒せる。石臼・材木・荷車を一人で動かせるので普請の人手が減る。与える傷が深くなる。,一日に食う量が増え不作の年に真っ先に痩せる。力任せに扱うので鍬の柄と鋤の刃を折る回数が増え道具代が出ていく。腱と腰を痛めて古傷が残りやすい。,骨太さも高いと関節が力に耐え四十を過ぎても腰が抜けない。度胸も高いと前線で崩れず隊列が保つ。手先の器用さも高いと鍛冶の大槌が正確に落ちて鉄を無駄にしない。,忍耐が低いと諍いで相手を殺してしまい遺族の恨みが残る。理解の速さが低いと荒事の道具としてしか使われず役職が付かない。体重も高いと兵糧を二人分食い長い遠征で部隊の足を引っ張る。,C,なし,大きい,中間遺伝,中,なし,敏捷と持久力にマイナス（筋が重い）。打たれ強さにプラス。飢えへの強さの実効を下げる（維持に要る飯が多い）。,スキル：耕作・伐採・鍛冶・戦の技の閾値を通す。ポジション：兵と普請の役に選ばれやすい。財：日雇いの手間賃が高く付く。しがらみ：力仕事の貸し借りで村内に恩の線が張る。
からだ,力,瞬発力,1番,A,持久力,槍の初手が相手の構えより先に届く。組み打ちの投げが決まる。猪と鹿に飛びかかる間合いが伸びる。城壁の梯子を一息で登り切る。,一息で使い切る体なので同じ動作を半日続けられず田植えと脱穀の総量では劣る。腱と筋を切る大怪我をしやすく古傷になりやすい。,反射も高いと不意打ちを返せる。柔軟性も高いと踏み込みで筋を切らない。,持久力が低いと三度目の突撃で動けなくなり殿を務められない。慎重が低いと出足で突出して隊列から離れ討ち取られる。,B,中,小さい,中間遺伝,中,なし,持久力と競合し高いほど持久力の伸びしろが狭い。短い距離の走力にプラス。,スキル：槍・組み打ち・狩りの追い込み。ポジション：先陣と使番に選ばれる。
からだ,力,握力,4番,A,手先の器用さ,弓の弦を引き絞ったまま狙いを付けていられる。船の綱と荷縄を手放さない。斧と槌が手の中で滑らない。相手の武器を掴んでもぎ取れる。暴れる牛馬の手綱を制せる。,手のひらが硬く厚くなり細工物の手触りが鈍る。握り締める癖で指の関節が早く固まり老いてから指が伸びない。,手の大きさも高いと大きな石と壺を片手で扱える。息の長さも高いと弓を引いたまま息を止めて狙いが静まる。,手先の器用さが低いと力で握り潰して細工物と土器を壊す。痛覚の鈍さも高いと手のひらが裂けても握り続けて傷が膿む。,E,なし,大きい,中間遺伝,やや低い,なし,手先の器用さの細かい作業にはマイナス（力が抜けない）。最大筋力の実際の発揮に効く。,スキル：弓・綱・鍛冶・船。財：漁と荷役の稼ぎ。
からだ,力,体幹,1番,A,なし,重い荷を背負って坂を下れる。盾で受けても足の位置が動かない。馬上で体が跳ねないので鞍の上から矢を射られる。腰を痛めずに一日鍬を振れる。,芯が強いので無理が利き限界を越えて働き腰と内臓を壊すまで自分で気づかない。,平衡感覚も高いと屋根と足場の上で両手を使う仕事ができる。最大筋力も高いと荷車一台分を一人で持ち上げられる。,柔軟性が低いと硬いまま踏ん張って腰の骨をやられ二度と重い物を持てない。忍耐が高いと限界まで働き続けて壊れる。,D,なし,大きい,中間遺伝,やや低い,なし,平衡感覚と走力にプラス。無駄な力を使わないので疲労の抜けやすさに間接的にプラス。,スキル：荷役・騎乗・大工。ポジション：普請の役。
からだ,力,打たれ強さ,3番,A,容姿,棍棒と拳を受けても倒れない。落馬しても骨が折れない。刃が骨に達しても即死しない。牛に蹴られても立てる。,倒れないので殴られ続ける。傷が浅く見えるので手当てが後回しになり内側で膿む。喧嘩で負けないので諍いの場に立たされ続け恨みが集まる。,骨太さも高いと骨が折れる前に相手の棒が折れる。傷の治りも高いと毎度の打ち身が翌日に残らない。,痛覚の鈍さも高いと肋が折れたまま働き続けて肺をやられる。度胸も高いと退かないので囲まれて死ぬ。,B,低い,中,中間遺伝,中,なし,敏捷にマイナス（重く厚い体）。傷の治りとは別で受ける傷の深さそのものを減らす。,ポジション：前列の兵と門番。しがらみ：喧嘩の仲裁を頼まれ貸しが増える。
からだ,続ける力,持久力,1番,B,瞬発力,夜明けから日暮れまで鍬を止めずに振れる。一日で隣村まで荷を運んで帰れる。鹿を歩き続けて追い詰められる。行軍で落伍しない。,止まらずに働けるので他人より多く働かされる。体が痩せて力の伸びしろを食う。脂が乗らないので飢饉の年に蓄えが体に無い。,疲労の抜けやすさも高いと連日の遠征でも翌朝に戻る。勤勉も高いと村一番の収穫を出す。,体重が低いと飢えたときに燃やす物が無く行軍で先に落ちる。従順が高いと断れずに働き続け若いうちに体を壊す。,C,なし,大きい,中間遺伝,中,なし,瞬発力と最大筋力の伸びしろを狭める。脂を溜めないので飢えへの強さの実効を下げる。,スキル：耕作・行軍・追い狩り。財：日雇いで年に一番稼ぐ。ポジション：伝令と輜重。
からだ,続ける力,疲労の抜けやすさ,1番,B,なし,一晩寝れば前日の重労働が残らない。連戦の三日目でも動きが鈍らない。病み上がりから畑に戻るのが早い。,疲れが残らないので働き詰めになり体が出す警告を受け取れない。休む口実が無く周りも休ませない。,必要睡眠が低いと一日に使える時間が他人より長い。持久力も高いと収穫期のひと月を通して速度が落ちない。,勤勉も高いと休みを取らず四十前に体が終わる。痛覚の鈍さも高いと壊れかけていることに誰も気づけない。,B,中,小さい,中間遺伝,やや低い,なし,老いの速さにマイナス。傷の治りと並んで働くが別物（あちらは傷そのもの）。,財：働ける日数が多く年の稼ぎが増える。ポジション：常備の兵に向く。
からだ,続ける力,必要睡眠,2番,A,なし,深く長く眠るので前日の疲れと傷が確実に抜ける。眠り足りた者は鎌と斧で自分を切らない。眠りの浅い者より病を貰いにくい。よく眠る者ほど老いが遅い。,一日に使える時間が短い。夜番と夜通しの見張りが務まらない。夜明け前の漁と刈り入れに出られない。夜襲で真っ先に寝込みを襲われる。,傷の治りも高いと大怪我からの戻りが極端に早い。忍耐も高いと眠りを削らずに済むよう段取りを組んで体を保つ。,勤勉も高いと眠りを削って体と仕事の両方を失う。度胸が高いと夜番を買って出て寝不足のまま朝の判断を誤る。,D,なし,ほぼゼロ,中間遺伝,中,なし,眠り不足の日は反射・集中・想起の速さが大きく落ちる（低い者は落ちない）。老いの速さにマイナス。,ポジション：夜番と見張りの役から外れる（低い者が夜の仕事を独占する）。しがらみ：夜に人と会えないので密談の輪に入れない。
からだ,続ける力,息の長さ,1番,B,なし,水に潜って貝と沈んだ荷を引き上げられる。坂を駆け上がっても声が出るので隊に号令できる。弓を引き絞る間だけ息を止めて狙いが静まる。煙と埃の中で咳き込まずに動ける（火事場と坑道）。,息を止めて無理をするので目の前が暗くなって倒れる。潜り仕事と坑道仕事に回されやすく肺と耳を痛める。,平衡感覚も高いと水中で上下を見失わない。声も高いと戦場の端まで号令が届く。,度胸が高いと潜りすぎて上がってこない。三半規管が低いと水中で方向を失って溺れる。,D,低い,中,中間遺伝,中,なし,走力と持久力の実際の発揮に効く。弓を構える間の手先の器用さを保つ。,スキル：潜り漁・坑道・弓。ポジション：伝令（声が届く）。財：貝と真珠。
からだ,速さ,走力,1番,B,体重,隣村への報せが半日早く着く。獲物を追い切れる。負け戦で生きて帰れる。追う側なら逃げる者を捕らえられる。,逃げ足が速いと味方が崩れたとき最初に離脱してしまい臆病者と見られる。使番に取られて畑を離れる日が増える。,持久力も高いと一日で二つの村を回れる（報せが集まる）。夜目も高いと夜通し走れる。,度胸が低いと敵を見た瞬間に走り出し隊列を崩す。空間把握が低いと速いだけで道を誤り遠回りする。,C,低い,中,中間遺伝,やや低い,なし,逃走時の生存に直結する。体重と骨太さが高いと打ち消される。,情報：伝令として村々の報せを最初に知る。ポジション：伝令と斥候。しがらみ：報せを運ぶので各村に顔が利く。
