大項目,中項目,名前,染色体,腕,対になるステ,高いといい面,高いと悪い面,相互関係でさらにいい面,相互関係でさらに悪い面,レア度,努力値の閾値,伸びしろ,遺伝方式,遺伝率の基準値,性別限定,他のステへの影響,他の枠への影響
あたま,覚える,短期の記憶,7番,B,なし,聞いたばかりのものを形を崩さずに保てる。いくつもの数や言い分を同時に頭へ並べたまま扱える。受け取ったものをそのまま次の者へ渡せる。控えを外に残さなくても最後まで運べる,直前のものほど鮮明なので判断が新しいほうへ引っ張られる。今しがた聞いたことを古い事実より重く扱う。頭に置けてしまうので外へ写す習わしがつかず、この者が死ぬと預かっていた取り決めごと消える。周りは失って初めて誰も控えを持っていなかったことを知る,＋聴力 → 耳に入れたものを取りこぼさない。＋数の感覚 → 数えたものを控えなしで突き合わせられる,＋信じやすさ → 偽りを正確なまま運ぶので偽りの伝わる速さが上がる。＋気分の振れ幅 → 揺さぶられた場面の記憶だけが濃く残り、渡すものが偏る,F,高い,小さい,中間遺伝,中,なし,想起の速さ・理解の速さ・段取り・言葉の覚えの土台。ここが低いと段取りと機転が働かない。長期の記憶とは別で、こちらは入口・あちらは保管,情報（口伝の受け取りと保持）／スキル（口頭で教わる工程の習得）／ポジションランク（伝令・使者に選ばれやすい）
あたま,覚える,長期の記憶,7番,B,創意,何十年も前のことを細部まで保てる。人と人の繋がりや昔の取り決めを何十組ぶんも同時に持ち続けられる。何年かに一度しか巡ってこないものの前触れを覚えていて言い当てられる,受けた恥や損も同じだけ薄れない。時が経っても和解が成立しない。古い形が正確に残るぶん新しい形を受け付けない。周りは何をしても忘れてもらえないので、この者が居るかぎり許しが生まれなくなる,＋執念 → 証しの残らない権利を主張し続け実際に取り戻すことがある。＋声（からだ） → 覚えたものを世代を越えて渡せる,＋嫉妬 → ひとつの侮辱を一生持ち相手の血筋ごと敵に回す。＋創意 → 前例を全部覚えているのに全部壊すので年長者から最も憎まれる,D,高い,中,中間遺伝,中,なし,想起の速さと組んで初めて使える。ここが低いと言葉の覚えと段取りが伸びない。執念と嫉妬の的が時間で消えなくなる。創意とは正面から食い違う,情報（村の来歴・境界・血縁の保持者）／しがらみ（恨みと借りが時間で消えない＝線が減らない）／身分ランク（家の由緒を語れる者は格の証人になる）
あたま,覚える,想起の速さ,7番,A,なし,覚えていることを要る時にその場で出せる。問われた瞬間に噛み合うものを引き当てる。持っている量ではなく取り出す速さのほうで決まる,出るのが速いぶん確かめずに口に出す。思い出し違いも同じ速さで断言する。周りは速さを確からしさと取り違えて確かめなくなり、誤ったものがそのまま定まった話として固まる,＋機転 → 不意を突かれてもその場で切り返せる。＋弁舌 → 例えと前例を並べられるので同じ中身でも通る率が変わる,＋誇り → 思い出し違いを認めないので誤ったものが前例として固まる。＋嘘のうまさ → 過去をその場で作り替えられる。最も見破りにくい偽りになる,E,高い,小さい,中間遺伝,やや高い,なし,短期の記憶と長期の記憶を実際に使える形に変える。機転・弁舌・嘘のうまさの前提。ここが低いと覚えた量がそのまま死蔵される,情報（持っている知識が実際に効くかを決める）／ポジションランク（裁きの席・交渉役に呼ばれる）
あたま,覚える,体で覚える力,6番,B,論理,繰り返した動きが考えずに出るようになる。疲れていても崩れない。何年も間が空いても錆びにくい。言葉にできない動きを体へ写す力であって、覚える力とは別物,一度体に入った誤った形が抜けない。最初に付いた形が生涯そのままになる。言葉にできないので人に渡せず、この者が死ぬと動き方ごと消える。周りは見ていたのに再現できない,＋手先の器用さ → 同じ動きを一生ぶん安定して出せる。＋反射 → 繰り返した受けが考える前に出る,＋論理 → 体で分かっていることを理屈でやり直そうとしてかえって形が崩れる。＋序列意識 → 見せる以外の渡し方をしないので下が育たない,C,中,中,中間遺伝,やや高い,なし,手先の器用さ・反射・平衡感覚と組む。短期の記憶／長期の記憶とは別系統。どちらが高いかが手で覚える型と言葉で覚える型を分ける。論理とは正面から食い違う,スキル（体を使う技の習得と定着。錆びにくさ）／ポジションランク（親方・棟梁）／財（技が売れるので収入が安定する）
あたま,考える,理解の速さ,6番,A,なし,説明を一度で飲み込む。他の者が三度聞く間に同じところへ届く。初めて見る仕組みでも組み立てを掴むのが速い。理解が速いことと知っていることは別で、知識そのものは情報の枠が持つ,筋の通らない指図の穴に気づいてしまう。分かるので従わない・言い返す・勝手に直す。上に立つ者からは扱いにくい者として遠ざけられる。周りが遅く見えるため説明を省き、結果として誰も動かせない。頭の良さがそのまま野心に化ける。上位二割を超えた分だけ上を狙う側へ寄るので、本人が望まなくても危うい立場に立つ,＋短期の記憶 → 一度の説明で最後まで持ち帰れる。＋段取り → 初めてやることでも最初の年から人並みに回せる,＋誇り → 理解できない上の者を露骨に軽んじ立場を落とされる。＋従順が低い → 指図の不備を指摘し続け、無能ではなく危険と見なされる,C,非常に高い,ほぼゼロ,中間遺伝,やや高い,なし,論理・段取り・言葉の覚え・見て盗む力の伸びを支える。学習速度とは別（あちらは積まれる量・こちらは分かるまでの速さ）。これ自体は訓練でほぼ動かない純粋な器。これが「知性」の本体で、こころの野心を押し上げる（上位20%を超えた分×0.6が野心に加算される。確定事項 A-16）。ただし連鎖ではない。理解の速さは6番・野心は10番で染色体が別なので、賢い者から必ず野心家が生まれるわけではなく、稀に「賢くて野心の無い者」が出る,スキル（習得の初動）／ポジションランク（登用されやすいが従順が低いと逆に外される。押し上がった野心は局長には見えないので、局長は良かれと思って野心の高い賢者を抜擢する。オーナーだけが同じ男を「賢くて野心が無い」あるいは「賢くて野心90」と読み分けられる）／しがらみ（上役との軋轢）
あたま,考える,論理,6番,A,体で覚える力,筋の通っていないところを言い当てる。前に聞いたことと今聞いたことが合わないと気づく。二つの言い分のどこが食い違うかを示せる。前がこうだったから次もこうなる、を条件の違いまで含めて詰められる,筋の通らないものを我慢できない。人の世で守られているものの多くは筋が通っていないので、それを口に出して敵を作る。上からの指図の矛盾を指摘するので扱いにくいと見なされる。皆が信じているものを疑う者は中世では命に関わる,＋数の感覚 → 数の合わなさと理屈の合わなさを両方見つける。＋弁舌 → 筋を人に渡せるので初めて力になる,＋信心が低い → 皆が信じているものに公然と逆らい身分ランクを失う。＋場を読むが低い → 正しいことを最悪の場で言い、味方まで敵に回す,B,中,大きい,中間遺伝,中,なし,数の感覚・段取り・嘘を見抜く・創意の土台。体で覚える力とは噛み合わない（理屈で形を崩す）。訓練で大きく伸びるが、中世では訓練を積める者そのものが稀,情報（矛盾から隠された事実を導ける）／ポジションランク（財務・裁きの役。ただし従順が低いと登用されない）／しがらみ（慣習を守る者との対立）
あたま,考える,空間把握,6番,B,なし,組み上がった形を作る前に頭の中で立てられる。高さと傾きと重なりを実物なしで確かめられる。見えていない側がどうなっているかを推せる,頭の中で出来上がっているので外へ写さない。この者以外に手順が渡らず、途中で倒れると全部が止まる。周りは何を作りかけていたのかすら分からない。位置の有利不利が先に見えるので、不利な側に置かれた者を切り捨てる判断を平気でする,＋手先の器用さ → 頭にある形をそのまま手で出せる。＋段取り → 大きな組み上げの全体を回せる,＋弁舌が低い → 頭にあるものを誰にも渡せず一生使われる側で終わる。＋誇り → 自分の形に固執し土地の条件を無視して人を死なせる,C,中,中,中間遺伝,やや高い,なし,手先の器用さ・視力と組む。道と方角の覚えの土台。創意が形になるかどうかを決める,スキル（普請・鍛冶・造船）／ポジションランク（棟梁・築城の役）／財（普請を請け負えれば大きい）
あたま,考える,数の感覚,6番,A,なし,数える道具が無くても量と比と割合を掴む。中世でこれを持つ者は本当に少ない。取る分と残る分を即座に出せる。人数と日数から要る量を出せる。増える分と目減りする分を見抜くので数で騙されない,数で言うので信用されない。見て分かることを重んじる世では、数で反論する者は理屈屋として嫌われる。足りない年に「この蓄えでは何人までしか越せない」と正確に出せてしまい、誰を切るかを決める役を押し付けられる。増える分を扱うこと自体が罪と見なされうる,＋論理 → 数の合わなさと理屈の合わなさを両方見つける。＋長期の記憶 → 何年ぶんもの数を突き合わせ当たり外れを言い当てる,＋貪欲 → 数を使って人から取る側に回り周りぜんたいから憎まれる。＋情が低い → 人を頭数として数え、切り捨てを平然と提案する,S,高い,大きい,中間遺伝,やや低い,なし,論理と組んで初めて力になる。単独では勘の鋭い者で終わる。段取りの精度を決める。入口は極端に狭いが、入れた者は一生伸び続ける（稀だが努力で伸びる型）,財（交易・徴税・利息。あたまで最も財に直結する）／ポジションランク（徴税役・蔵の管理）／情報（数から隠された事実を出せる）／しがらみ（貸し借りの線が増える）
あたま,考える,創意,7番,A,長期の記憶,誰も見たことのない手を作る。既にあるものを別の用に組み替える。前例の無いやり方を出す。中世で本当に稀で、こうした跳びは数百年に一度しか起きない,前例を壊す。中世では前例こそが正しさなので、新しい手を出す者は序列を乱す者として憎まれる。とくに序列意識の高い年長者から。試した手の大半は失敗し、その失敗は「言ったとおりだ」として周りの記憶に残る。度を越した思いつきは人ならぬものの仕業と見なされうる,＋空間把握 → 思いついたものが実際に形になる。＋弁舌 → 新しい手を人に呑ませられる（創意が単独では世に出ないのを埋める）,＋従順が低い → 命じられた通りにやらないのでまず信用を失う。＋誇り → 前例を壊した上に頭を下げないので周りぐるみで潰される,SS,非常に高い,小さい,中間遺伝,低い,なし,論理・空間把握・見て盗む力と組む。弁舌が無いと世に出ない。長期の記憶が高いと軋轢が最大になる。本人は訓練でほとんど伸びず、伸びるのは材料になる周辺のステのほう,スキル（新しい技が生まれる唯一の源）／しがらみ（前例を守る者からの敵意）／身分ランク（当たれば跳ねるが外すと落ちる）／ポジションランク（扱いにくいので登用が遅い）
あたま,人を読む,人読み,8番,B,弁舌,相手が何を欲しがっていて何を恐れているかが読める。相手の譲れる線がどこかを見抜く。不満を口に出される前に気づく。誰と誰が本当は繋がっているかが分かる,誰が本当は自分を嫌っているかまで分かってしまう。表向き親しくしている相手の敵意が見えるので人を信じられなくなり孤立する。分かっていて何もできない場が続くと心が削れ、状態異常を負いやすくなる,＋場を読む → 誰に何をどこで言うかまで揃う。＋弁舌 → 相手ごとに刺さる言い方を変えられる,＋気分の振れ幅 → 見えすぎて疑いに沈み味方まで敵と誤認する。＋嘘のうまさ → 弱みを正確に突けるので最も人に恐れられる型になる,D,低い,大きい,中間遺伝,中,なし,嘘を見抜く・場を読むの土台。顔と名前の覚えが低いと誰の話か紐づかず活かせない。人を多く見た年数がそのまま積まれる。弁舌とは向きが逆（読む側と押す側）,しがらみ（誰と組むかの精度が上がる。ただし線の本数は増えない）／ポジションランク（人を配する役に向く）／情報（口に出されていないことを知る）
