職業,規模,中核ステ,効くステ,邪魔なステ,入口の閾値,伸びるステ,備考
書記,都市,手先の器用さ／集中／短期の記憶／論理／数の感覚,視力／長期の記憶／想起の速さ／言葉の覚え／観察／段取り／正直さ／勤勉／忍耐／潔癖,口の軽さ／貪欲／気分の振れ幅／社交／成熟の早さ,手先の器用さ／視力／集中,手先の器用さ／集中／論理／数の感覚／段取り／長期の記憶,書記は「写す」でも「書く」でもなく「口述を受けてその場で正確に留める」職。だから短期の記憶が中核に入るのは101ステの中でこの職だけ。視力は伸びしろほぼゼロで四十過ぎに確実に落ちるので稼ぎが年齢で崩れる。成熟の早さが高い子は十二で大人の仕事に出されて手習いの窓が閉じるので、この職に届かなくなる。
写本,都市,手先の器用さ／集中／視力／忍耐,触覚／色の見分け／長期の記憶／言葉の覚え／潔癖／勤勉／信心／柔軟性／体幹／従順,創意／社交／好奇心／気分の振れ幅／握力,手先の器用さ／視力／集中,手先の器用さ／触覚／集中／言葉の覚え／忍耐／体で覚える力,創意が邪魔になる唯一の知の職。写し違いを「直して」しまう者は原本を壊す。社交が低いほど積まれる（一人で続ける仕事）と定義文にある通り。著述家と正反対の構造。
学者,都市,論理／理解の速さ／長期の記憶／弁舌,想起の速さ／言葉の覚え／集中／好奇心／観察／数の感覚／誇り／名誉欲／野心／視力／寿命,従順／信心／必要睡眠／貪欲,理解の速さ／論理／視力,論理／長期の記憶／弁舌／言葉の覚え／集中／数の感覚／野心,理解の速さは伸びしろほぼゼロ・努力値閾値が非常に高い。101ステで入口が最も厳しい職。A-16により知性が上位20%を超えた分が野心に自動加算されるので、大学に賢い者を集めると野心の高い集団が都市に溜まる。
法律家,都市,論理／長期の記憶／弁舌／想起の速さ,嘘を見抜く／人読み／場を読む／言葉の覚え／数の感覚／短期の記憶／観察／機転／野心／声／忍耐,正直さ／信じやすさ／情／口の軽さ／気分の振れ幅,論理／長期の記憶,論理／弁舌／嘘を見抜く／人読み／場を読む／想起の速さ／長期の記憶／野心,商人と同じく正直さが邪魔になるが中身が違う。商人は値を偽り、法律家は事実の中からどれを出すかを選ぶ。成文の法が無い段階ではこの職は現れない。
学寮長,都市,段取り／人読み／数の感覚／弁舌,顔と名前の覚え／場を読む／嘘を見抜く／序列意識／野心／誇り／論理／長期の記憶／伝承意欲／社交／信心,情／嫉妬／貪欲／保身／気分の振れ幅,段取り／数の感覚,段取り／人読み／顔と名前の覚え／弁舌／場を読む／野心／図太さ,誰を入れるかを決めるので、世襲か能力主義かの分岐がこの職の性格に出る。情と序列意識が高い学寮長を置くと入学が身分で決まり、嫉妬が高いと有能な平民の学生が潰される。
医者,都市,観察／長期の記憶／論理／嗅覚,触覚／色の見分け／視力／人読み／弁舌／潔癖／病への強さ／言葉の覚え／情／段取り／味覚,気分の振れ幅／信心／正直さ／保身,観察／長期の記憶／嗅覚,観察／長期の記憶／論理／人読み／弁舌／病への強さ／潔癖,医者は切らない。中核は嗅覚と観察で手先の器用さはほとんど要らない——ここが外科医との分かれ目。嗅覚は伸びしろ小さく努力値閾値が高いので入口に置いた。余命を正直に告げる医者は恨まれて職を失うので正直さが邪魔になる。
外科医,都市,手先の器用さ／触覚／度胸／集中,視力／最大筋力／空間把握／体で覚える力／観察／機転／潔癖／図太さ／忍耐／段取り,情／気分の振れ幅／握力／手の大きさ／必要睡眠,手先の器用さ／触覚／度胸,手先の器用さ／触覚／体で覚える力／集中／図太さ／度胸／機転,同じ「医」でも医者と一つも中核が重ならない。身分が職人なのでギルドの徒弟（10歳〜）に乗り、医者は大学（14歳〜）。入口の年齢そのものが違う。握力が高いと力が抜けず組織を潰すので邪魔側に置いた。
技師,都市,空間把握／数の感覚／段取り／論理,創意／観察／視力／長期の記憶／弁舌／道と方角の覚え／体で覚える力／野心／誇り／機転／平衡感覚／慎重,従順／保身／気分の振れ幅／口の軽さ／好奇心,空間把握／数の感覚,空間把握／段取り／数の感覚／論理／観察／慎重／野心／誇り,空間把握は「頭の中で出来上がっているので図にも言葉にも落とさない」ので、伝承意欲が低い技師が死ぬと工法ごと消えて普請が止まる。従順が高い技師は無理な工期を呑んで橋を落とす。攻城に使うので口の軽さは致命傷。
吟遊詩人,都市,声／長期の記憶／弁舌／社交,言葉の覚え／顔と名前の覚え／道と方角の覚え／場を読む／機転／容姿／息の長さ／気分の振れ幅／口の軽さ／腹の丈夫さ／持久力／好奇心,郷土愛／正直さ／必要睡眠／潔癖／保身,声／長期の記憶,弁舌／長期の記憶／社交／顔と名前の覚え／道と方角の覚え／場を読む／機転／言葉の覚え,この職だけが「情報」の枠を村から村へ実際に動かす。口の軽さが高いほど速く広く回り同時に歪む。声は喉の作りなので訓練で変わらず伸びるのは使い方だけ——才能で入口が決まる数少ない職。郷土愛が高い者は村を出ないので情報が動かない。
芸人,都市,平衡感覚／敏捷／場を読む／見て盗む力,柔軟性／瞬発力／体で覚える力／声／容姿／機転／社交／気分の振れ幅／図太さ／人読み／道と方角の覚え／腹の丈夫さ,誇り／序列意識／体重／郷土愛／保身,平衡感覚／敏捷,平衡感覚／柔軟性／体で覚える力／見て盗む力／場を読む／図太さ／社交／機転,道化は誇りを捨てられる者しか務まらない。誇りが高い者を就けても伸びない。剣闘士とは逆（あちらは誇りと名誉欲が要る）。同じ見世物でも参照するこころが反転している。
音楽家,都市,聴力／手先の器用さ／体で覚える力／集中,声／息の長さ／短期の記憶／長期の記憶／気分の振れ幅／場を読む／序列意識／従順／柔軟性／歯の丈夫さ／信心／社交,必要睡眠／誇り／他責／握力,聴力／手先の器用さ,手先の器用さ／体で覚える力／集中／長期の記憶／場を読む／社交,ステが足りない：音の高さの聞き分け（音感）。聴力は「どれだけ小さい音が聞こえるか」の定義であって「高さを取れるか」ではない。今は聴力で代用しているが、それだと夜番や諜報と区別が付かない。聴力自体は伸びしろほぼゼロで完全に才能。歯が落ちると音が抜けるので、笛と歌は歯の丈夫さで職業寿命が決まる。
